model,prompt_id,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,rho_full_vocab,v_access_full_vocab,v_inaccess_full_vocab,rank_full_vocab,entropy_full_vocab,varentropy_full_vocab,top_k_output,rho_topk,v_access_topk,v_inaccess_topk,rank_topk,entropy_topk,varentropy_topk,rho_abs_diff_topk_vs_full
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,state_pca,8,0,0.23883227075766703,1.9872706179817423,6.333508695790899,8,6.509845176231477,8.320779313772643,16,0.7413145688617921,0.5315791857334975,0.18549721888873927,8,2.42392912551188,0.7170764046222367,0.5024822981041251
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,state_pca,8,0,0.23883227075766703,1.9872706179817423,6.333508695790899,8,6.509845176231477,8.320779313772643,32,0.43868724725031993,0.48682713500356645,0.6229091020422699,8,2.9389375346412843,1.1097362370458363,0.1998549764926529
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,state_pca,8,0,0.23883227075766703,1.9872706179817423,6.333508695790899,8,6.509845176231477,8.320779313772643,64,0.36286721708888925,0.5894198920408871,1.0349205396176187,8,3.3880032859555045,1.6243404316585055,0.12403494633122222
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,state_pca,8,0,0.23883227075766703,1.9872706179817423,6.333508695790899,8,6.509845176231477,8.320779313772643,128,0.28311255619114983,0.633933379516207,1.6052233291964668,8,3.830236892476517,2.239156708712674,0.04428028543348281
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,state_pca,8,0,0.23883227075766703,1.9872706179817423,6.333508695790899,8,6.509845176231477,8.320779313772643,256,0.28857159226304513,0.8459018769807152,2.0854395982731626,8,4.299716165006828,2.931341475253878,0.049739321505378103
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,delta_pca,8,0,0.3292825189362243,2.7398871719514832,5.580892141821158,8,6.509845176231477,8.320779313772643,16,0.5015190440224614,0.35962747293720787,0.3574489316850289,8,2.42392912551188,0.7170764046222367,0.1722365250862371
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,delta_pca,8,0,0.3292825189362243,2.7398871719514832,5.580892141821158,8,6.509845176231477,8.320779313772643,32,0.4548364943743792,0.5047485397381433,0.6049876973076931,8,2.9389375346412843,1.1097362370458363,0.12555397543815489
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,delta_pca,8,0,0.3292825189362243,2.7398871719514832,5.580892141821158,8,6.509845176231477,8.320779313772643,64,0.4534120126398958,0.7364954643306402,0.8878449673278656,8,3.3880032859555045,1.6243404316585055,0.12412949370367149
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,delta_pca,8,0,0.3292825189362243,2.7398871719514832,5.580892141821158,8,6.509845176231477,8.320779313772643,128,0.34144336650557494,0.7645452047563984,1.4746115039562753,8,3.830236892476517,2.239156708712674,0.012160847569350652
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,delta_pca,8,0,0.3292825189362243,2.7398871719514832,5.580892141821158,8,6.509845176231477,8.320779313772643,256,0.28372967788969433,0.8317085725584842,2.0996329026953937,8,4.299716165006828,2.931341475253878,0.04555284104652996
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,random,8,0,0.18840290197283752,1.5676589693903211,6.753120344382321,8,6.509845176231477,8.320779313772643,16,0.571970363912876,0.4101464521051175,0.30692995251711924,8,2.42392912551188,0.7170764046222367,0.38356746194003855
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,random,8,0,0.18840290197283752,1.5676589693903211,6.753120344382321,8,6.509845176231477,8.320779313772643,32,0.395734476204322,0.43916088849228935,0.6705753485535471,8,2.9389375346412843,1.1097362370458363,0.2073315742314845
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,random,8,0,0.18840290197283752,1.5676589693903211,6.753120344382321,8,6.509845176231477,8.320779313772643,64,0.41390600791818477,0.6723242635678731,0.9520161680906326,8,3.3880032859555045,1.6243404316585055,0.22550310594534725
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,random,8,0,0.18840290197283752,1.5676589693903211,6.753120344382321,8,6.509845176231477,8.320779313772643,128,0.4012859968351036,0.898542231925775,1.3406144767868988,8,3.830236892476517,2.239156708712674,0.21288309486226606
google/bert_uncased_L-2_H-128_A-2,5,factual_simple,science,error,1,random,8,0,0.18840290197283752,1.5676589693903211,6.753120344382321,8,6.509845176231477,8.320779313772643,256,0.36603754015423645,1.07298102295402,1.8583604522998578,8,4.299716165006828,2.931341475253878,0.17763463818139894
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.1151833062783831,0.8378157060186683,6.435944121588437,8,7.079268480923656,7.273759827607105,16,0.6680896572385943,0.27559082283742214,0.13691492373635045,8,2.556006616111536,0.4125057465737726,0.5529063509602111
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.1151833062783831,0.8378157060186683,6.435944121588437,8,7.079268480923656,7.273759827607105,32,0.4018234899449352,0.2964868368460656,0.4413665845322996,8,3.0942724346334636,0.7378534213783651,0.28664018366655214
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.1151833062783831,0.8378157060186683,6.435944121588437,8,7.079268480923656,7.273759827607105,64,0.28271247886388834,0.33039754992010434,0.8382722988529097,8,3.5926516219662616,1.168669848773014,0.16752917258550526
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.1151833062783831,0.8378157060186683,6.435944121588437,8,7.079268480923656,7.273759827607105,128,0.18125257729217953,0.30409884296385026,1.373664019815432,8,4.078482940928831,1.6777628627792822,0.06606927101379644
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,state_pca,8,0,0.1151833062783831,0.8378157060186683,6.435944121588437,8,7.079268480923656,7.273759827607105,256,0.1639206494723959,0.3728841282488478,1.901900222893204,8,4.54530554602135,2.274784351142052,0.04873734319401281
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.25327303486450925,1.8422472264136012,5.431512601193504,8,7.079268480923656,7.273759827607105,16,0.711653658776743,0.2935612238156572,0.1189445227581154,8,2.556006616111536,0.4125057465737726,0.4583806239122338
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.25327303486450925,1.8422472264136012,5.431512601193504,8,7.079268480923656,7.273759827607105,32,0.31078672113583355,0.22931504550903867,0.5085383758693265,8,3.0942724346334636,0.7378534213783651,0.057513686271324305
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.25327303486450925,1.8422472264136012,5.431512601193504,8,7.079268480923656,7.273759827607105,64,0.1691841181908813,0.197720377820933,0.9709494709520811,8,3.5926516219662616,1.168669848773014,0.08408891667362794
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.25327303486450925,1.8422472264136012,5.431512601193504,8,7.079268480923656,7.273759827607105,128,0.17176304466081707,0.28817765752981817,1.389585205249464,8,4.078482940928831,1.6777628627792822,0.08150999020369218
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,delta_pca,8,0,0.25327303486450925,1.8422472264136012,5.431512601193504,8,7.079268480923656,7.273759827607105,256,0.16644243473256773,0.3786206458956274,1.8961637052464244,8,4.54530554602135,2.274784351142052,0.08683060013194152
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,random,8,0,0.15224302026614336,1.107379164845448,6.166380662761657,8,7.079268480923656,7.273759827607105,16,0.5064722803719305,0.20892272613374424,0.20358302044002835,8,2.556006616111536,0.4125057465737726,0.35422926010578715
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,random,8,0,0.15224302026614336,1.107379164845448,6.166380662761657,8,7.079268480923656,7.273759827607105,32,0.3071664862613958,0.22664384282074151,0.5112095785576236,8,3.0942724346334636,0.7378534213783651,0.15492346599525245
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,random,8,0,0.15224302026614336,1.107379164845448,6.166380662761657,8,7.079268480923656,7.273759827607105,64,0.21242311008947212,0.2482524839441567,0.9204173648288574,8,3.5926516219662616,1.168669848773014,0.06018008982332876
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,random,8,0,0.15224302026614336,1.107379164845448,6.166380662761657,8,7.079268480923656,7.273759827607105,128,0.1993939951439867,0.3345358401137734,1.3432270226655088,8,4.078482940928831,1.6777628627792822,0.04715097487784334
google/bert_uncased_L-2_H-128_A-2,6,ambiguous_open,open,ambiguous,1,random,8,0,0.15224302026614336,1.107379164845448,6.166380662761657,8,7.079268480923656,7.273759827607105,256,0.2371120021334411,0.5393786719211127,1.7354056792209391,8,4.54530554602135,2.274784351142052,0.08486898186729774
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,state_pca,8,0,0.1146552209855189,0.7567730084282321,5.843650434336869,8,7.181499571019862,6.600423442765103,16,0.4655863957299105,0.23001555640597263,0.26401854449461737,8,2.5109018414681574,0.49403410090058997,0.3509311747443916
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,state_pca,8,0,0.1146552209855189,0.7567730084282321,5.843650434336869,8,7.181499571019862,6.600423442765103,32,0.2777077619037547,0.22287424245872095,0.5796753187449828,8,3.080967193536259,0.8025495612037038,0.1630525409182358
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,state_pca,8,0,0.1146552209855189,0.7567730084282321,5.843650434336869,8,7.181499571019862,6.600423442765103,64,0.2673986700885065,0.3089221454370955,0.8463646229482714,8,3.645226696601658,1.1552867683853671,0.1527434491029876
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,state_pca,8,0,0.1146552209855189,0.7567730084282321,5.843650434336869,8,7.181499571019862,6.600423442765103,128,0.20583917808535152,0.3252901386439575,1.25502193639297,8,4.182901543896144,1.5803120750369275,0.09118395709983261
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,state_pca,8,0,0.1146552209855189,0.7567730084282321,5.843650434336869,8,7.181499571019862,6.600423442765103,256,0.1786604382059266,0.3675091225168094,1.6895166309586915,8,4.721027400212962,2.057025753475501,0.06400521722040771
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,delta_pca,8,0,0.2922490302247797,1.9289673502210027,4.671456092544099,8,7.181499571019862,6.600423442765103,16,0.5929037048017562,0.29291464872236445,0.20111945217822552,8,2.5109018414681574,0.49403410090058997,0.30065467457697653
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,delta_pca,8,0,0.2922490302247797,1.9289673502210027,4.671456092544099,8,7.181499571019862,6.600423442765103,32,0.5537557556380971,0.44441643870138026,0.35813312250232354,8,3.080967193536259,0.8025495612037038,0.2615067254133174
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,delta_pca,8,0,0.2922490302247797,1.9289673502210027,4.671456092544099,8,7.181499571019862,6.600423442765103,64,0.427251004290134,0.49359743203575146,0.6616893363496155,8,3.645226696601658,1.1552867683853671,0.1350019740653543
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,delta_pca,8,0,0.2922490302247797,1.9289673502210027,4.671456092544099,8,7.181499571019862,6.600423442765103,128,0.3397158890503231,0.5368571215481308,1.0434549534887967,8,4.182901543896144,1.5803120750369275,0.04746685882554341
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,delta_pca,8,0,0.2922490302247797,1.9289673502210027,4.671456092544099,8,7.181499571019862,6.600423442765103,256,0.27921325171211636,0.5743488494834609,1.48267690399204,8,4.721027400212962,2.057025753475501,0.013035778512663354
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,random,8,0,0.09219605609314464,0.6085330099676781,5.991890432797423,8,7.181499571019862,6.600423442765103,16,0.2376447145227828,0.11740459287304038,0.3766295080275496,8,2.5109018414681574,0.49403410090058997,0.14544865842963817
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,random,8,0,0.09219605609314464,0.6085330099676781,5.991890432797423,8,7.181499571019862,6.600423442765103,32,0.21170604350572939,0.16990459231969535,0.6326449688840085,8,3.080967193536259,0.8025495612037038,0.11950998741258474
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,random,8,0,0.09219605609314464,0.6085330099676781,5.991890432797423,8,7.181499571019862,6.600423442765103,64,0.2896969391292886,0.33468304061780824,0.8206037277675586,8,3.645226696601658,1.1552867683853671,0.197500883036144
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,random,8,0,0.09219605609314464,0.6085330099676781,5.991890432797423,8,7.181499571019862,6.600423442765103,128,0.28437883971851324,0.4494073142921575,1.13090476074477,8,4.182901543896144,1.5803120750369275,0.19218278362536861
google/bert_uncased_L-2_H-128_A-2,8,factual_simple,common,error,1,random,8,0,0.09219605609314464,0.6085330099676781,5.991890432797423,8,7.181499571019862,6.600423442765103,256,0.2645889919911216,0.5442663706118602,1.5127593828636408,8,4.721027400212962,2.057025753475501,0.172392935897977
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,state_pca,8,0,0.07734112664785175,0.5294743681077051,6.316487037633103,8,6.995943978591005,6.845961405740809,16,0.5300683268373081,0.15067070169473082,0.13357699632133194,8,2.6212434851614743,0.28424769801606276,0.45272720018945634
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,state_pca,8,0,0.07734112664785175,0.5294743681077051,6.316487037633103,8,6.995943978591005,6.845961405740809,32,0.3502239656501441,0.1824856925442203,0.3385685768443978,8,3.208937968097798,0.5210542693886181,0.2728828390022923
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,state_pca,8,0,0.07734112664785175,0.5294743681077051,6.316487037633103,8,6.995943978591005,6.845961405740809,64,0.2833568477386922,0.2484349431871401,0.6283215042739193,8,3.7309015328516244,0.8767564474610594,0.20601572109084043
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,state_pca,8,0,0.07734112664785175,0.5294743681077051,6.316487037633103,8,6.995943978591005,6.845961405740809,128,0.26033442424243813,0.34903692653082735,0.9916882869960031,8,4.208675069818581,1.3407252135268304,0.18299329759458638
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,state_pca,8,0,0.07734112664785175,0.5294743681077051,6.316487037633103,8,6.995943978591005,6.845961405740809,256,0.22792609765775998,0.43180446438510506,1.462688833321753,8,4.6741793667515825,1.8944932977068578,0.15058497100990823
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,delta_pca,8,0,0.31377867073219284,2.148116669777245,4.697844735963563,8,6.995943978591005,6.845961405740809,16,0.4875006369972604,0.1385709338478355,0.14567676416822725,8,2.6212434851614743,0.28424769801606276,0.17372196626506753
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,delta_pca,8,0,0.31377867073219284,2.148116669777245,4.697844735963563,8,6.995943978591005,6.845961405740809,32,0.18811619511832506,0.09801874660754559,0.4230355227810725,8,3.208937968097798,0.5210542693886181,0.12566247561386779
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,delta_pca,8,0,0.31377867073219284,2.148116669777245,4.697844735963563,8,6.995943978591005,6.845961405740809,64,0.12495637024453222,0.10955630326322491,0.7672001441978344,8,3.7309015328516244,0.8767564474610594,0.18882230048766063
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,delta_pca,8,0,0.31377867073219284,2.148116669777245,4.697844735963563,8,6.995943978591005,6.845961405740809,128,0.10655529891921754,0.14286137589588319,1.1978638376309472,8,4.208675069818581,1.3407252135268304,0.2072233718129753
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,delta_pca,8,0,0.31377867073219284,2.148116669777245,4.697844735963563,8,6.995943978591005,6.845961405740809,256,0.15678281112458717,0.2970239848711706,1.5974693128356874,8,4.6741793667515825,1.8944932977068578,0.15699585960760568
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,random,8,0,0.14355720023275248,0.9827870523096288,5.863174353431179,8,6.995943978591005,6.845961405740809,16,0.4121945508906004,0.117165352225418,0.16708234579064474,8,2.6212434851614743,0.28424769801606276,0.26863735065784794
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,random,8,0,0.14355720023275248,0.9827870523096288,5.863174353431179,8,6.995943978591005,6.845961405740809,32,0.3201216626027503,0.16680075902294578,0.3542535103656723,8,3.208937968097798,0.5210542693886181,0.17656446236999784
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,random,8,0,0.14355720023275248,0.9827870523096288,5.863174353431179,8,6.995943978591005,6.845961405740809,64,0.26585393774865446,0.23308915400404392,0.6436672934570155,8,3.7309015328516244,0.8767564474610594,0.12229673751590198
google/bert_uncased_L-2_H-128_A-2,9,ambiguous_open,role,ambiguous,1,random,8,0,0.14355720023275248,0.9827870523096288,5.863174353431179,8,6.995943978591005,6.845961405740809,128,0.23817712894795287,0.31933008206595154,1.021395131460879,8,4.208675069818581,1.3407252135268304,0.09461992871520039
