model,model_type,item_id,task,layer,route_family,subspace_dim,budget_mode,eps,rho,rank,entropy,varentropy,confidence,margin,jacobian_norm,projected_gradient_norm,fisher_output_energy,unit_fisher_output_energy,applied_fisher_energy,uncertainty_movement,varentropy_movement,delta_entropy,drift,top1_preserved,topk_jaccard,safe_movement,base_confidence,max_uncertainty_movement,max_safe_movement,safe_movement_target,minimal_energy,minimal_eps
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,state_pca,4,same_fisher_output_energy,0.01,0.9952489165442605,4,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.0006198884530760441,1.0,0.0001,0.007546114525497916,0.0023787101569486824,-0.007546114525497916,1.0503914728566e-05,1,1.0,0,0.46125296182639597,0.062156357415468266,0.032091308308909106,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,delta_pca,1,same_epsilon,0.01,0.09541385731300835,1,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0008772781467411749,0.0008772781467411749,8.772781467411749e-08,1.9085511931860033e-05,7.78913892325317e-05,-1.9085511931860033e-05,1.514563972803576e-09,1,1.0,0,0.46125296182639597,0.0010532111266912114,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,delta_pca,1,same_fisher_output_energy,0.01,0.09541385731300835,1,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0008772781467411749,1.0,0.0001,0.002564364989726564,0.010079754088725912,0.002564364989726564,1.7114339753136445e-05,1,1.0,0,0.46125296182639597,0.05387835415433673,0.0,0,0.0025000000000000005,0.05
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,delta_pca,2,same_epsilon,0.01,0.17968773962767928,2,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0008391278011152498,0.0008391278011152498,8.391278011152499e-08,1.7455105692953943e-05,6.657282038419199e-05,-1.7455105692953943e-05,1.6032741014498036e-09,1,1.0,0,0.46125296182639597,0.001173851463277864,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,delta_pca,2,same_fisher_output_energy,0.01,0.17968773962767928,2,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0008391278011152498,1.0,0.0001,0.0027002216173696025,0.010004860841201724,0.0027002216173696025,1.6741645410552647e-05,1,1.0,0,0.46125296182639597,0.05769758674679959,0.0,0,0.0025000000000000005,0.05
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,delta_pca,4,same_epsilon,0.01,0.7288769896538223,4,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0003856347646217237,0.0003856347646217237,3.856347646217237e-08,1.7455105692953943e-05,6.657282038419199e-05,-1.7455105692953943e-05,1.6032741014498036e-09,1,1.0,0,0.46125296182639597,0.0010564856008564716,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,delta_pca,4,same_fisher_output_energy,0.01,0.7288769896538223,4,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0003856347646217237,1.0,0.0001,0.0019068051852193513,0.0056494456037440854,0.0019068051852193513,1.3791198888761814e-05,1,1.0,0,0.46125296182639597,0.053084398240460406,0.0,0,0.010000000000000002,0.1
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,random,1,same_epsilon,0.01,0.3672685911413424,1,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0026474504706394675,0.0026474504706394675,2.6474504706394677e-07,1.0080407584212026e-06,7.543982836588636e-06,-1.0080407584212026e-06,5.1663098855089917e-11,1,1.0,0,0.46125296182639597,0.004574183188051584,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,random,1,same_fisher_output_energy,0.01,0.3672685911413424,1,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0026474504706394675,1.0,0.0001,0.004574183188051584,0.006541086291368847,0.004574183188051584,1.46111679036631e-05,1,1.0,0,0.46125296182639597,0.06048480054751926,0.0,0,0.0025000000000000005,0.05
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,random,2,same_epsilon,0.01,0.9488164627064346,2,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0002575412107789933,0.0002575412107789933,2.5754121077899333e-08,0.0,5.551115123125783e-17,0.0,0.0,1,1.0,0,0.46125296182639597,0.002777821100339084,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,random,2,same_fisher_output_energy,0.01,0.9488164627064346,2,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0002575412107789933,1.0,0.0001,0.0035124177452501293,0.00694784943549781,-0.0035124177452501293,1.1955809776971e-05,1,1.0,0,0.46125296182639597,0.019718051930401437,0.01305050036003419,1,0.0025000000000000005,0.05
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,random,4,same_epsilon,0.01,0.9848525509813655,4,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.001294966212019175,0.001294966212019175,1.294966212019175e-07,1.630398278718026e-06,1.1318473269406049e-05,1.630398278718026e-06,8.856938833719017e-11,1,1.0,0,0.46125296182639597,0.0007469872573098169,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,random,4,same_fisher_output_energy,0.01,0.9848525509813655,4,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.001294966212019175,1.0,0.0001,0.00034881351238691405,0.007617087608656703,0.00034881351238691405,1.0274316859169684e-05,1,1.0,0,0.46125296182639597,0.05641671960460182,0.0,0,0.010000000000000002,0.1
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,state_pca,1,same_epsilon,0.01,0.21117239349164152,1,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0015523516148618543,0.0015523516148618543,1.5523516148618543e-07,0.0,5.551115123125783e-17,0.0,0.0,1,1.0,0,0.46125296182639597,0.0026705104681252756,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,state_pca,1,same_fisher_output_energy,0.01,0.21117239349164152,1,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0015523516148618543,1.0,0.0001,0.0015729846302600103,0.0008950279104616432,0.0015729846302600103,1.0701199202155508e-05,1,1.0,0,0.46125296182639597,0.06355056321804742,0.0,0,0.0025000000000000005,0.05
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,state_pca,2,same_epsilon,0.01,0.6474782319254246,2,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.001933943059577668,0.001933943059577668,1.933943059577668e-07,0.0,5.551115123125783e-17,0.0,0.0,1,1.0,0,0.46125296182639597,0.0020630072487698436,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,state_pca,2,same_fisher_output_energy,0.01,0.6474782319254246,2,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.001933943059577668,1.0,0.0001,0.0025957436670103196,0.0006995664247721467,0.0025957436670103196,8.54019654285943e-06,1,1.0,0,0.46125296182639597,0.06838501764828198,0.0,0,0.0025000000000000005,0.05
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,18,state_pca,4,same_epsilon,0.01,0.8201307219865188,4,0.989458463602875,0.41145638489181185,0.5659842930803164,0.2700525508741986,8.993554781086296,63.103143837446765,0.0007068015086051174,0.0007068015086051174,7.068015086051174e-08,0.0,5.551115123125783e-17,0.0,0.0,1,1.0,0,0.46125296182639597,0.0007446225769069947,0.0,0,,
