subspace,k,layer,observed_condition,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,rho_adjusted_median,rho_adjusted_z_mean,trace_fim_structured_mean
state_pca,2,6,correct,183,0.40919043318167336,0.43443998627682884,-0.02524955309515546,-0.016582318319468103,-0.15701682353552163,0.05567422280660185
state_pca,2,6,error,137,0.2083508140606399,0.2215695572683974,-0.013218743207757504,-0.023385129673432176,-0.0399750004765301,0.11666584375180923
state_pca,4,0,correct,183,0.19270410111165362,0.21586135722360114,-0.02315725611194754,-0.12187412922497698,-0.15035977908329715,0.33648378738370355
state_pca,4,0,error,137,0.24271691758119296,0.21522330137037002,0.027493616210822913,0.14477435263838448,0.31593359303302054,0.3216864481260775
state_pca,4,1,correct,183,0.3897008157433622,0.29921787932351124,0.09048293641985095,0.08902174640429492,0.5666960706159407,0.2687812410110608
state_pca,4,1,error,137,0.24684061180425332,0.24955782454067954,-0.0027172127364262434,-0.012977915810998497,-0.10977358617536044,0.2373020304458487
state_pca,4,2,correct,183,0.35795865351214534,0.36707776950689536,-0.009119115994749967,0.023788679303033133,0.03962254031927074,0.1248025116406385
state_pca,4,2,error,137,0.36346466425390767,0.3040365492924569,0.059428114961450826,0.07016560367853106,0.4657217802913891,0.11876462646768479
state_pca,4,3,correct,183,0.3533313314449093,0.3075890375870537,0.045742293857855554,0.008272864925008255,0.27157640893087714,0.18229777495033533
state_pca,4,3,error,137,0.3686120649290842,0.3210248229441809,0.047587241984903335,0.05088781026269537,0.2946292202313422,0.12230327677019354
state_pca,4,4,correct,183,0.36666075667934384,0.27308045360175925,0.09358030307758465,0.10008113164597646,0.8950730048449907,0.0695229915729676
state_pca,4,4,error,137,0.358547378508354,0.3041875983991547,0.054359780109199334,0.0568002144468516,0.5167883408459697,0.08365034143157872
state_pca,4,5,correct,183,0.5565034940661209,0.4480547432084458,0.10844875085767502,0.13735164819864587,0.6709403380557648,0.05158636537541389
state_pca,4,5,error,137,0.33351674131300063,0.3233887263428506,0.010128014970149972,0.0014734939905969302,0.0814915427394567,0.0751492361028279
state_pca,4,6,correct,183,0.6001007628799565,0.6388089260545606,-0.03870816317460417,-0.00530216211813872,-0.33529051895074946,0.11341788579926694
state_pca,4,6,error,137,0.3567762646998125,0.3730244444728606,-0.016248179773048113,-0.01763857154469367,-0.0642740826271854,0.2673044189528847
state_pca,8,0,correct,183,0.3448077016287414,0.3896362190824341,-0.044828517453692665,-0.11251071543030239,-0.10955830377047875,0.622149049936853
state_pca,8,0,error,137,0.39359690627895716,0.39804440032361105,-0.00444749404465391,0.06420761512989509,0.18527073822996418,0.6022209658883713
state_pca,8,1,correct,183,0.5405773899339653,0.4774243722709158,0.06315301766304957,0.06891090482214235,0.6211721746473313,0.5381081623527232
