architecture,split,subspace,k,layer,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,saturation_rate
mlp,digits_low_vs_high,state_pca,4,0,90,0.9999999999998885,0.9999999999999004,-1.1976839273428495e-14,1.0
mlp,digits_low_vs_high,state_pca,4,1,90,0.9999999999999671,0.9999999999999357,3.1328026592644976e-14,1.0
mlp,digits_low_vs_high,state_pca,4,2,90,0.9999999999996463,0.9999999999990213,6.250407598903015e-13,1.0
mlp,digits_low_vs_high,state_pca,8,0,90,0.9999999999999992,0.9999999999999996,-3.108624468950438e-16,1.0
mlp,digits_low_vs_high,state_pca,8,1,90,0.9999999999999999,0.9999999999999999,-1.603655480014115e-17,1.0
mlp,digits_low_vs_high,state_pca,8,2,90,0.9999999999999997,0.9999999999999997,2.4671622769447924e-18,1.0
transformer,digits_even_vs_odd,delta_forward_1d,1,0,90,0.44528865458031186,0.34289030970119566,0.10239834487911618,0.0
transformer,digits_even_vs_odd,delta_forward_1d,1,1,90,0.2985950621459588,0.34145125177859553,-0.04285618963263672,0.0
transformer,digits_even_vs_odd,delta_forward_1d,1,2,90,0.42305544881263635,0.35471000495578064,0.06834544385685569,0.0
transformer,digits_even_vs_odd,state_pca,1,0,90,0.3572478243856014,0.34289030970119566,0.014357514684405673,0.0
transformer,digits_even_vs_odd,state_pca,1,1,90,0.26432414727528025,0.34145125177859553,-0.07712710450331524,0.0
transformer,digits_even_vs_odd,state_pca,1,2,90,0.3167774055138025,0.35471000495578064,-0.03793259944197819,0.0
transformer,digits_even_vs_odd,state_pca,1,3,90,0.29838518306000267,0.3943001050565126,-0.0959149219965099,0.0
transformer,digits_even_vs_odd,state_pca,2,0,90,0.6248265721329994,0.5854695698783897,0.03935700225460979,0.0
transformer,digits_even_vs_odd,state_pca,2,1,90,0.5235845763694277,0.5946251207953958,-0.07104054442596822,0.0
transformer,digits_even_vs_odd,state_pca,2,2,90,0.518330069907841,0.6044002521688051,-0.0860701822609642,0.0
transformer,digits_even_vs_odd,state_pca,2,3,90,0.5088005458785361,0.6250578602510012,-0.11625731437246506,0.0
transformer,digits_even_vs_odd,state_pca,4,0,90,0.999999999999994,0.9999999999998699,1.2412663489650792e-13,1.0
transformer,digits_even_vs_odd,state_pca,4,1,90,0.9999999999999559,0.9999999999998991,5.689029494406997e-14,1.0
transformer,digits_even_vs_odd,state_pca,4,2,90,0.9999999999995804,0.9999999999968142,2.766283498563856e-12,1.0
transformer,digits_even_vs_odd,state_pca,4,3,90,0.999999999999999,0.9999999999997611,2.37923261339448e-13,1.0
transformer,digits_even_vs_odd,state_pca,8,0,90,0.9999999999999993,0.9999999999999992,3.454027187722709e-17,1.0
