metric,group,method,eps,coverage,ci_low,median,ci_high
answer_preserved_rate,wrong_low,wrong_logit_gradient_normed,0.8,,0.21320744206773617,0.2633357041251778,0.32505952380952385
confidence_delta,correct_high,accessible_rho,0.025,,-0.0003784773937095809,-0.00021782517099477872,-7.441912626485192e-05
confidence_delta,correct_high,accessible_rho,0.05,,-0.000750435641869479,-0.000489115481027036,-0.0002508267582057049
confidence_delta,correct_high,accessible_rho,0.1,,-0.0015540891179828375,-0.001104046192223096,-0.0006357316724500682
confidence_delta,correct_high,accessible_rho,0.2,,-0.002780317355489395,-0.0020140592898619247,-0.001165501193114024
confidence_delta,correct_high,accessible_rho,0.4,,-0.005467233290559032,-0.0037958355129446564,-0.0020864036870766947
confidence_delta,correct_high,accessible_rho,0.8,,-0.009693217546991453,-0.006284341039829333,-0.002483808920203053
confidence_delta,correct_high,low_rho,0.025,,-0.00032562497311190155,-0.000224262132706321,-0.00011234778105078667
confidence_delta,correct_high,low_rho,0.05,,-0.0004648746759286199,-0.00031105877248738256,-0.00013641813566745152
confidence_delta,correct_high,low_rho,0.1,,-0.0008016952003083028,-0.0005924677000906375,-0.0003367898114858129
confidence_delta,correct_high,low_rho,0.2,,-0.0015161236797065548,-0.00113798415690336,-0.0006746867890821067
confidence_delta,correct_high,low_rho,0.4,,-0.0030164293557642025,-0.0022424101323654244,-0.0013229901383061513
confidence_delta,correct_high,low_rho,0.8,,-0.005565188734571541,-0.0039046868887043784,-0.0022028398400708634
confidence_delta,correct_high,projected_gradient,0.025,,-0.011031069378805528,-0.008087523107145889,-0.00433391293250755
confidence_delta,correct_high,projected_gradient,0.05,,-0.019761646682961802,-0.013519462389107784,-0.005804002174460533
confidence_delta,correct_high,projected_gradient,0.1,,-0.030919432348084253,-0.01940838065322531,-0.004304106489908392
confidence_delta,correct_high,projected_gradient,0.2,,-0.018595497498771305,-0.0002583841637270323,0.021478949890589315
confidence_delta,correct_high,projected_gradient,0.4,,0.03795481617196574,0.05649519326587821,0.08060997730954948
confidence_delta,correct_high,projected_gradient,0.8,,0.08830489909377899,0.10975165820887972,0.13345360740099002
confidence_delta,correct_high,random_activation,0.025,,-0.0004118521920334989,-0.0002012776969693153,-1.2187170044200526e-05
confidence_delta,correct_high,random_activation,0.05,,-0.0007202852853702729,-0.0004131211507772403,-0.00011069975856516083
confidence_delta,correct_high,random_activation,0.1,,-0.0012007917910474759,-0.000591032962014737,9.141961878660349e-05
confidence_delta,correct_high,random_activation,0.2,,-0.0024072531722750005,-0.0011451061598195533,0.000185832427603425
confidence_delta,correct_high,random_activation,0.4,,-0.004443331262235376,-0.001704388209392338,0.0009239795824203848
confidence_delta,correct_high,random_activation,0.8,,-0.008571312999571845,-0.0032830518727846036,0.002312555446684534
confidence_delta,correct_high,standard_delta_pca,0.025,,9.434796544322277e-05,0.00019066398337230783,0.0002964913822421284
confidence_delta,correct_high,standard_delta_pca,0.05,,0.0003188523444258906,0.000425032785673074,0.0005279958936527496
confidence_delta,correct_high,standard_delta_pca,0.1,,0.0007998136763257113,0.0009082337696887932,0.001027728000361003
confidence_delta,correct_high,standard_delta_pca,0.2,,0.001625590659298165,0.0017629405749113314,0.00188496323615856
confidence_delta,correct_high,standard_delta_pca,0.4,,0.0034428310789843875,0.003650195036554116,0.003827442933497355
confidence_delta,correct_high,standard_delta_pca,0.8,,0.0065765486533567565,0.0069814685266872956,0.007310365184299961
confidence_delta,correct_high,temperature_1.25,0.0,,-0.05253685343141259,-0.0479070995957287,-0.04319229901264938
confidence_delta,correct_high,temperature_1.5,0.0,,-0.09822495420460477,-0.09097883093894049,-0.08308596849411622
confidence_delta,correct_high,temperature_2,0.0,,-0.17088853832587864,-0.1611648473623799,-0.15095390591156857
confidence_delta,correct_high,wrong_logit_gradient_normed,0.025,,-0.009100298996346654,-0.008489610142733583,-0.0075915001812168394
confidence_delta,correct_high,wrong_logit_gradient_normed,0.05,,-0.017930176883609778,-0.01612511203693523,-0.014152402167352583
confidence_delta,correct_high,wrong_logit_gradient_normed,0.1,,-0.033767570442174835,-0.02948517744746071,-0.02459734893494654
confidence_delta,correct_high,wrong_logit_gradient_normed,0.2,,-0.06038204772165756,-0.050268375471995586,-0.03959306046925851
confidence_delta,correct_high,wrong_logit_gradient_normed,0.4,,-0.06801276443928284,-0.051213376727328785,-0.03542770028531467
confidence_delta,correct_high,wrong_logit_gradient_normed,0.8,,-0.029282476924139413,-0.013141816815342433,0.0022663149359933243
confidence_delta,correct_low,accessible_rho,0.025,,-0.00043198793905614984,-0.0002387532226116318,-1.5613726298127517e-05
confidence_delta,correct_low,accessible_rho,0.05,,-0.000870843692841583,-0.0004853834257773082,-0.00014406729474745875
confidence_delta,correct_low,accessible_rho,0.1,,-0.0014944401301202558,-0.000910560961450313,-0.00030947289632247233
