model,prompt_id,task,topic,layer,subspace_family,subspace_k,top_k_output,rho,grad_entropy_proj_norm,grad_varentropy_proj_norm,fisher_output_fro_norm,jacobian_fro_norm
distilbert-base-uncased,7,factual_deep,common,2,delta_pca,8,16,0.6456867041407385,0.1332764418719633,0.2748430223043301,0.651609358725095,2.9441493839923525
distilbert-base-uncased,7,factual_deep,common,2,random,8,16,0.5084625888870078,0.0810440225625792,0.1847597117588136,0.5681173072087211,2.283235983735142
distilbert-base-uncased,7,factual_deep,common,2,state_pca,8,32,0.6753181268865768,0.1787739035877346,0.4045793184010062,0.7224587889333656,4.614180753482139
distilbert-base-uncased,7,factual_deep,common,2,delta_pca,8,32,0.492955809518535,0.1289226790683643,0.3029217244228652,0.6688168139553001,4.192971235142637
distilbert-base-uncased,7,factual_deep,common,2,random,8,32,0.3325377181739531,0.1095867163602567,0.2500822308212299,0.5836462466969672,3.4635673661772857
distilbert-base-uncased,7,factual_deep,common,2,state_pca,8,64,0.6259790785759177,0.2242243754824518,0.5287277453539765,0.7095238654561397,6.157260571285379
distilbert-base-uncased,7,factual_deep,common,2,delta_pca,8,64,0.3761611138769344,0.1342642808583972,0.343998707688071,0.6739114534295026,5.915351382351878
distilbert-base-uncased,7,factual_deep,common,2,random,8,64,0.2715194308590581,0.128274924413283,0.3056512193000044,0.5871738759834685,4.939465636920957
distilbert-base-uncased,7,factual_deep,common,2,state_pca,8,128,0.4779054440201039,0.23249631793478,0.6219215664036978,0.7003273507013096,8.582838446436686
distilbert-base-uncased,7,factual_deep,common,2,delta_pca,8,128,0.375920592237834,0.1531719966088996,0.4138490516170751,0.6644053477246838,8.13572438674438
distilbert-base-uncased,7,factual_deep,common,2,random,8,128,0.2320186629681088,0.1308853602082288,0.3517553174381098,0.5814381339074213,6.848834389487858
distilbert-base-uncased,7,factual_deep,common,2,state_pca,8,256,0.4119134412982571,0.2306534409595223,0.6971072392063795,0.6846481113756804,11.562365064583638
distilbert-base-uncased,7,factual_deep,common,2,delta_pca,8,256,0.3228960952274207,0.1574439676730713,0.471904146601049,0.6632889528573234,11.528224357376413
distilbert-base-uncased,7,factual_deep,common,2,random,8,256,0.2046140268452074,0.1340113650651405,0.3981198467718291,0.5750769106297747,9.587053831961788
distilbert-base-uncased,8,factual_simple,role,2,state_pca,8,16,0.642524720065602,0.0572446237657421,0.1299454588437192,0.4986383129772772,2.5374844371498027
distilbert-base-uncased,8,factual_simple,role,2,delta_pca,8,16,0.6424733324305995,0.0575843271237152,0.1297317598836188,0.5437190620169162,3.027995437269569
distilbert-base-uncased,8,factual_simple,role,2,random,8,16,0.3495112071906732,0.0512622589634632,0.1130050127792914,0.5221822803948382,2.41489376856149
distilbert-base-uncased,8,factual_simple,role,2,state_pca,8,32,0.4885033646927317,0.0603373047541731,0.1428326210664494,0.4915237524225447,3.5630757029235665
distilbert-base-uncased,8,factual_simple,role,2,delta_pca,8,32,0.5028925533886213,0.0747377166270746,0.1728729845556607,0.5391741202921,4.0230794914089305
distilbert-base-uncased,8,factual_simple,role,2,random,8,32,0.2735155106178547,0.0543724893319405,0.1292413128566406,0.5391514434758036,3.449994211075428
distilbert-base-uncased,8,factual_simple,role,2,state_pca,8,64,0.2942058043117707,0.056354288264228,0.148521559004488,0.4959637240204296,4.986939107227421
distilbert-base-uncased,8,factual_simple,role,2,delta_pca,8,64,0.3984349087619859,0.0696570284855951,0.1812364553970135,0.5437269472957419,5.627993007538233
distilbert-base-uncased,8,factual_simple,role,2,random,8,64,0.162381187388049,0.0421559049319576,0.112887106526114,0.5426463411921909,4.799686403052865
distilbert-base-uncased,8,factual_simple,role,2,state_pca,8,128,0.1834660813977739,0.0481466103041495,0.144165713676321,0.5041136124852279,7.11789523205397
distilbert-base-uncased,8,factual_simple,role,2,delta_pca,8,128,0.2286597806583271,0.0574929347883309,0.1676967357949594,0.5543424339242301,8.126744606472839
distilbert-base-uncased,8,factual_simple,role,2,random,8,128,0.1348394514788579,0.0469572629990651,0.1303653832456361,0.5329827353711121,6.634992976272316
distilbert-base-uncased,8,factual_simple,role,2,state_pca,8,256,0.1883304899435753,0.0557229856622945,0.1618345623114253,0.5045669407713391,9.772502590948353
distilbert-base-uncased,8,factual_simple,role,2,delta_pca,8,256,0.1950302117635002,0.0612841456158806,0.1832337042001065,0.5525618518656074,11.271654790569976
distilbert-base-uncased,8,factual_simple,role,2,random,8,256,0.0968552269393725,0.0451621057645665,0.1318973820513376,0.5346000911144029,9.41124063724845
distilbert-base-uncased,9,ambiguous_open,open,2,state_pca,8,16,0.5021241771603148,0.0474995328499278,0.096125559732967,0.5687907422359568,2.8364113398463635
distilbert-base-uncased,9,ambiguous_open,open,2,delta_pca,8,16,0.7313992337237393,0.061233007835193,0.1249161583820553,0.5854656773330487,2.8973949524560987
distilbert-base-uncased,9,ambiguous_open,open,2,random,8,16,0.6409517094556489,0.0580424209016692,0.1192529270286183,0.5533322093765121,2.485074073758121
distilbert-base-uncased,9,ambiguous_open,open,2,state_pca,8,32,0.2427455800356125,0.0378979691196539,0.088748730255384,0.5600525138890512,3.690356573315519
distilbert-base-uncased,9,ambiguous_open,open,2,delta_pca,8,32,0.4348079979639516,0.0451328262499827,0.1053455563847513,0.5593343200299441,3.780182414528355
distilbert-base-uncased,9,ambiguous_open,open,2,random,8,32,0.3578929533969668,0.0435120500950881,0.1012748701731269,0.5323445819156533,3.3721408843024694
distilbert-base-uncased,9,ambiguous_open,open,2,state_pca,8,64,0.2517539633003779,0.045115212196279,0.0961363787326461,0.5625376791122517,5.209975850848745
distilbert-base-uncased,9,ambiguous_open,open,2,delta_pca,8,64,0.1158530406523312,0.0391218492619815,0.1035738198874992,0.5546516026270114,5.353383271518745
distilbert-base-uncased,9,ambiguous_open,open,2,random,8,64,0.0457301649698677,0.024254606325391,0.0755469588598029,0.5288777430498749,4.777330306246725
distilbert-base-uncased,9,ambiguous_open,open,2,state_pca,8,128,0.2405431214565153,0.0594197625346692,0.1291811864208096,0.5593087736075866,7.213603555075624
distilbert-base-uncased,9,ambiguous_open,open,2,delta_pca,8,128,0.0596623950637829,0.0347957217122924,0.0852750595170036,0.5647726844770254,7.490157242278462
distilbert-base-uncased,9,ambiguous_open,open,2,random,8,128,0.044148469457675,0.0302239438111359,0.072608623917213,0.5343800121283323,6.563236323394527
distilbert-base-uncased,9,ambiguous_open,open,2,state_pca,8,256,0.2175057432059259,0.0633293098087201,0.1535651995515885,0.5512229026387164,9.692161031137775
distilbert-base-uncased,9,ambiguous_open,open,2,delta_pca,8,256,0.0532409721103335,0.0349408394710086,0.0791241143535329,0.5612683731446905,10.360346579822522
distilbert-base-uncased,9,ambiguous_open,open,2,random,8,256,0.0501098065194893,0.0335594938169142,0.080309415828233,0.5314667786445831,9.148607110950977
distilbert-base-uncased,10,factual_deep,antonym,2,state_pca,8,16,0.7251060508940014,0.0862410680888738,0.1984113813623989,0.5957209893697473,3.0313011100868588
distilbert-base-uncased,10,factual_deep,antonym,2,delta_pca,8,16,0.7894072028851282,0.1099776784693044,0.2500512114320716,0.5765875652945432,2.664449931283553
distilbert-base-uncased,10,factual_deep,antonym,2,random,8,16,0.7149291405332099,0.1034736548295531,0.2706191445950158,0.5749744727831202,2.65293432144562
distilbert-base-uncased,10,factual_deep,antonym,2,state_pca,8,32,0.5111935466563379,0.0854799564782358,0.2061373957252196,0.6055402185193214,4.016934325027189
distilbert-base-uncased,10,factual_deep,antonym,2,delta_pca,8,32,0.5523656025176964,0.1077498615482249,0.2780153879017351,0.5965912843507327,3.80889803699714
distilbert-base-uncased,10,factual_deep,antonym,2,random,8,32,0.422592809395887,0.0794818964535511,0.2360904194157574,0.5680680498484871,3.6497846643927874
distilbert-base-uncased,10,factual_deep,antonym,2,state_pca,8,64,0.3507512177556889,0.09034854647584,0.2306671551268933,0.6073672884996217,5.460631524621452
distilbert-base-uncased,10,factual_deep,antonym,2,delta_pca,8,64,0.3579172086799616,0.1025351644088612,0.2841335317772268,0.5974977532105527,5.412314517993044
distilbert-base-uncased,10,factual_deep,antonym,2,random,8,64,0.4237060577170995,0.0989829425778313,0.2704516473841447,0.5671635574506018,5.0961900754133485
distilbert-base-uncased,10,factual_deep,antonym,2,state_pca,8,128,0.276137479491944,0.0987081396736815,0.2647182932198813,0.6138869702585353,7.789290282022904
distilbert-base-uncased,10,factual_deep,antonym,2,delta_pca,8,128,0.2769688375074028,0.0996701871837851,0.3009232582152653,0.5963868547934793,7.47188137655273
distilbert-base-uncased,10,factual_deep,antonym,2,random,8,128,0.2887707605378686,0.0983648478244817,0.2881889275986702,0.562542840147258,7.02133682065214
distilbert-base-uncased,10,factual_deep,antonym,2,state_pca,8,256,0.2290491192315377,0.103591947857265,0.2982852817894242,0.6132879152429596,10.79086187514556
distilbert-base-uncased,10,factual_deep,antonym,2,delta_pca,8,256,0.1956628392057283,0.0961778954324278,0.3126376770915427,0.5960779938654178,10.573107091850796
distilbert-base-uncased,10,factual_deep,antonym,2,random,8,256,0.2532553282174904,0.1032594842971686,0.3166202104210939,0.5584859356796285,9.871908287860226
distilbert-base-uncased,11,factual_simple,math,2,state_pca,8,16,0.946075222810008,0.5769600974784532,1.0460586282032798,0.6985629650977947,3.296701306959425
distilbert-base-uncased,11,factual_simple,math,2,delta_pca,8,16,0.965592252726314,0.2986960927536458,0.5628384106666663,0.5098618160568225,2.9525847337504296
distilbert-base-uncased,11,factual_simple,math,2,random,8,16,0.7949148916665675,0.2811453320758911,0.6110407586757256,0.5796473754356404,2.7608283000461764
distilbert-base-uncased,11,factual_simple,math,2,state_pca,8,32,0.9004285467997907,0.661844291679167,1.5109546667979774,0.7257875349550723,4.229021290766334
distilbert-base-uncased,11,factual_simple,math,2,delta_pca,8,32,0.8035253754633219,0.3545369720576904,0.7982605984296962,0.5716385584841291,4.219366187037109
distilbert-base-uncased,11,factual_simple,math,2,random,8,32,0.7537630017841659,0.323740939206157,0.812835208761137,0.5921513942307605,3.760110452042336
distilbert-base-uncased,11,factual_simple,math,2,state_pca,8,64,0.8736790422070562,0.7242851074142409,1.959758633436106,0.7420324154219908,5.56387059780656
distilbert-base-uncased,11,factual_simple,math,2,delta_pca,8,64,0.731117148623703,0.3564266706684089,0.9786713201469852,0.5874445241280383,5.752076096088925
distilbert-base-uncased,11,factual_simple,math,2,random,8,64,0.7006331349919663,0.3525333240725369,1.009161773519834,0.6002886672432488,5.417216697823199
distilbert-base-uncased,11,factual_simple,math,2,state_pca,8,128,0.8137463546168748,0.7206339329524634,2.29042358503498,0.7346601877432136,7.659773893961817
distilbert-base-uncased,11,factual_simple,math,2,delta_pca,8,128,0.6606567953024307,0.3580246759821028,1.142951477142871,0.5972384814909902,7.956346551928499
distilbert-base-uncased,11,factual_simple,math,2,random,8,128,0.5880931221597478,0.3463264674772871,1.1517777690851323,0.6009222025811607,7.560091641828815
distilbert-base-uncased,11,factual_simple,math,2,state_pca,8,256,0.7595421846746383,0.6800151381075736,2.500836408522648,0.7226794004942372,10.697033379323702
