model,prompt_id,task,topic,observed_condition,layer,subspace_family,k,rep,rank_whitened_jb,rho,v_access,v_inaccess,entropy_before,varentropy_before,semantic_entropy_proxy_before,trace_fim,grad_norm_sq,logit_norm,strict_orth_ls_norm,accessible_ls_norm
bert-base-uncased,4,factual_deep,culture,error,4,random,4,1,4,0.7446653111708026,1.0099123227047302,0.34628395440785914,1.0352976013357469,1.3561962771125915,0.7640259590704153,0.004187713427837639,0.0012097078761848998,21.091847720522026,3.425897131481237e-14,47.009662520504634
bert-base-uncased,4,factual_deep,culture,error,4,state_pca,8,0,8,0.9612822469739553,1.3036874046005025,0.052508872512087905,1.0352976013357469,1.3561962771125915,0.7640259590704153,0.025938006460568395,0.009899300836185277,21.091847720522026,3.2256134768132684e-14,32.76465254278574
bert-base-uncased,4,factual_deep,culture,error,4,delta_pca,8,0,8,0.940718981107325,1.2757995799869022,0.08039669712568644,1.0352976013357469,1.3561962771125915,0.7640259590704153,0.023081761180893688,0.007343712802655583,21.091847720522026,4.002996834414772e-14,38.83650117980345
bert-base-uncased,4,factual_deep,culture,error,4,random,8,0,8,0.8966305669853791,1.216007036890921,0.14018924022166998,1.0352976013357469,1.3561962771125915,0.7640259590704153,0.014363624284501487,0.002945498634866801,21.091847720522026,4.3287309559878916e-14,63.207279968106675
bert-base-uncased,4,factual_deep,culture,error,4,random,8,1,8,0.984525794565395,1.3352102173109024,0.02098605980168601,1.0352976013357469,1.3561962771125915,0.7640259590704153,0.016772993360939067,0.006922445183143352,21.091847720522026,1.9813671034512865e-14,26.883176275834547
bert-base-uncased,5,factual_simple,common,error,4,state_pca,1,0,1,0.43966444172638236,0.11896604667656734,0.15161768806767628,2.355902478909541,0.2705837347442435,1.3399401889298943,0.009174137431355672,0.0010914108618758995,24.956813700369043,1.6237011735142914e-15,3.601047865585134
bert-base-uncased,5,factual_simple,common,error,4,delta_pca,1,0,1,0.021900714501215834,0.005925977123306392,0.26465775762093713,2.355902478909541,0.2705837347442435,1.3399401889298943,0.0065594265591807244,3.887101173171335e-05,24.956813700369043,1.6653345369377348e-16,0.9504888975031128
bert-base-uncased,5,factual_simple,common,error,4,random,1,0,1,0.07175322730513271,0.019415256224175437,0.25116847852006813,2.355902478909541,0.2705837347442435,1.3399401889298943,0.013786927706006298,0.0002676767339562951,24.956813700369043,4.996003610813204e-16,1.186691451877896
bert-base-uncased,5,factual_simple,common,error,4,random,1,1,1,0.2023530286383852,0.05475343822578312,0.21583029651846036,2.355902478909541,0.2705837347442435,1.3399401889298943,0.013874232993353868,0.0007596619591317232,24.956813700369043,1.1102230246251565e-16,1.986557802506245
bert-base-uncased,5,factual_simple,common,error,4,state_pca,4,0,4,0.7151703314683423,0.1935134592669826,0.0770702754772606,2.355902478909541,0.2705837347442435,1.3399401889298943,0.09486361908030214,0.0036133369284886674,24.956813700369043,3.1414113126173396e-15,3.703613004291802
bert-base-uncased,5,factual_simple,common,error,4,delta_pca,4,0,4,0.5248766965756566,0.14202309683966222,0.1285606379045814,2.355902478909541,0.2705837347442435,1.3399401889298943,0.15671948374998865,0.007228732033548742,24.956813700369043,1.768152165036652e-15,2.2481099865937275
bert-base-uncased,5,factual_simple,common,error,4,random,4,0,4,0.700090556887017,0.1894331175416663,0.08115061720257719,2.355902478909541,0.2705837347442435,1.3399401889298943,0.08544777539528578,0.006701555019295331,24.956813700369043,1.5364284340103301e-15,2.9090931019169552
bert-base-uncased,5,factual_simple,common,error,4,random,4,1,4,0.15875646021274703,0.042956915919140984,0.22762681882510258,2.355902478909541,0.2705837347442435,1.3399401889298943,0.06332029248751075,0.0009416063275167879,24.956813700369043,1.4739229889206566e-15,1.797369141115444
bert-base-uncased,5,factual_simple,common,error,4,state_pca,8,0,8,0.8460796579021757,0.22893539372630256,0.041648341017940606,2.355902478909541,0.2705837347442435,1.3399401889298943,0.24876850769651832,0.010731232890902973,24.956813700369043,4.9565709623530126e-15,5.675214474259943
bert-base-uncased,5,factual_simple,common,error,4,delta_pca,8,0,8,0.8993980244690973,0.24336247648244283,0.027221258261800444,2.355902478909541,0.2705837347442435,1.3399401889298943,0.23741155238752837,0.009684958092020931,24.956813700369043,3.1073618914497257e-15,7.823152339401077
bert-base-uncased,5,factual_simple,common,error,4,random,8,0,8,0.9447598805601383,0.2556366569184876,0.014947077825755878,2.355902478909541,0.2705837347442435,1.3399401889298943,0.13668409390901093,0.008048317954407292,24.956813700369043,8.888817884032269e-15,10.804556397376013
bert-base-uncased,5,factual_simple,common,error,4,random,8,1,8,0.9156756293420104,0.24776693160164676,0.02281680314259679,2.355902478909541,0.2705837347442435,1.3399401889298943,0.17808616848354342,0.012034389266908224,24.956813700369043,2.645384479792202e-15,4.783944590105439
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,state_pca,1,0,1,0.06048158192132507,0.007767139186672004,0.12065442221983291,2.4196255327934617,0.128421561406505,1.3817124821173539,0.008141121335054418,6.323322254495272e-05,24.334484735978453,4.163336342344337e-17,0.9767612683200535
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,delta_pca,1,0,1,0.10236710735422554,0.013146143763096954,0.11527541764340798,2.4196255327934617,0.128421561406505,1.3817124821173539,0.005914256586115921,7.774966733292303e-05,24.334484735978453,0.0,1.4909020351153683
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,random,1,0,1,0.0018569175957213698,0.00023846825704575134,0.12818309314945917,2.4196255327934617,0.128421561406505,1.3817124821173539,0.01236011078936577,2.9474940768324414e-06,24.334484735978453,0.0,0.13890059527486864
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,random,1,1,1,0.12579958525655402,0.0161553791629374,0.11226618224356753,2.4196255327934617,0.128421561406505,1.3817124821173539,0.007673678109082176,0.00012397117942655476,24.334484735978453,1.942890293094024e-16,1.4509645062294099
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,state_pca,4,0,4,0.1927215078811701,0.024749596958715904,0.10367196444778903,2.4196255327934617,0.128421561406505,1.3817124821173539,0.05273343148529727,0.00037931864060396876,24.334484735978453,6.614917107302101e-16,1.7245914381438605
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,delta_pca,4,0,4,0.5112114361591079,0.06565057084041444,0.06277099056609044,2.4196255327934617,0.128421561406505,1.3817124821173539,0.06088473951364609,0.001141004787367774,24.334484735978453,1.7406530350733312e-15,2.4735950707289023
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,random,4,0,4,0.5904046452908525,0.07582068640990496,0.052600874996599864,2.4196255327934617,0.128421561406505,1.3817124821173539,0.0480029809662298,0.0009833481973058906,24.334484735978453,2.2051276433777916e-15,2.776628626645228
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,random,4,1,4,0.21065560993698165,0.027052722347146833,0.10136883905935808,2.4196255327934617,0.128421561406505,1.3817124821173539,0.04893047541982999,0.00018512545747290696,24.334484735978453,1.1268387694495183e-15,2.052057869931257
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,state_pca,8,0,8,0.31903924003917683,0.040971517355775804,0.08745004405072915,2.4196255327934617,0.128421561406505,1.3817124821173539,0.10061674706179062,0.0005286779838393843,24.334484735978453,2.5517021683543648e-15,3.2330190030186396
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,delta_pca,8,0,8,0.5680682929037467,0.07295221716022693,0.05546934424627792,2.4196255327934617,0.128421561406505,1.3817124821173539,0.1130516264586216,0.001438218601342424,24.334484735978453,1.919153049041725e-15,4.105622058834686
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,random,8,0,8,0.6793599896694892,0.08724447063046284,0.041177090776042036,2.4196255327934617,0.128421561406505,1.3817124821173539,0.12986429322675969,0.0013392225176762141,24.334484735978453,1.3913823270755058e-15,6.059672031306082
bert-base-uncased,6,ambiguous_open,polysemy,ambiguous,4,random,8,1,8,0.795148249998764,0.10211417981449118,0.026307381592013762,2.4196255327934617,0.128421561406505,1.3817124821173539,0.12106825809803791,0.0005785923314372137,24.334484735978453,3.4130612752522032e-15,5.119299248275096
bert-base-uncased,7,factual_deep,continent,error,4,state_pca,1,0,1,0.10400561606401927,0.022891897293464525,0.19721061408797588,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.005410642538947584,0.00012385987329323854,19.927366325079635,2.7755575615628914e-16,2.0569156051487143
bert-base-uncased,7,factual_deep,continent,error,4,delta_pca,1,0,1,0.47645827500795074,0.10486966289771896,0.11523284848372152,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.0015553764673180714,0.00016311180580669108,19.927366325079635,5.551115123125783e-17,8.21121027988088
bert-base-uncased,7,factual_deep,continent,error,4,random,1,0,1,0.4441778229834233,0.09776465433859235,0.12233785704284805,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.019221393301091738,0.0018791728719873692,19.927366325079635,3.7816971776294395e-16,2.255269787492544
bert-base-uncased,7,factual_deep,continent,error,4,random,1,1,1,0.16786725600188,0.036948004624724966,0.18315450675671552,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.020685744086631288,0.0007642969681787286,19.927366325079635,4.163336342344337e-16,1.3364721737968999
bert-base-uncased,7,factual_deep,continent,error,4,state_pca,4,0,4,0.1910994713014287,0.042061473557109964,0.17804103782433042,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.0744062260466371,0.0002651635921539884,19.927366325079635,1.9557343555690404e-15,2.9252171958661912
bert-base-uncased,7,factual_deep,continent,error,4,delta_pca,4,0,4,0.5239926496066492,0.11533209812383861,0.104770413257602,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.031069291311392296,0.0009732792999477372,19.927366325079635,4.1359533080110354e-15,7.54814013269087
bert-base-uncased,7,factual_deep,continent,error,4,random,4,0,4,0.5515176458310561,0.12139041891859526,0.09871209246284514,2.3759144316232104,0.22010251138144069,1.3021535988361208,0.042048622835047705,0.0008279053237575975,19.927366325079635,4.6470493090159045e-15,4.310065717099786
