model,prompt_id,prompt,target,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,rho,v_access,v_inaccess,entropy,varentropy,confidence,rank_whitened_jb,grad_entropy_proj_norm,grad_varentropy_proj_norm,route_role,direction_kind,sign,latent_step_norm,fisher_output_energy,direction_output_energy_unit,first_order_entropy,candidate_set_kl,full_vocab_top10_jaccard,entropy_after,delta_entropy,abs_delta_entropy,varentropy_after,delta_varentropy,abs_delta_varentropy,semantic_entropy_proxy_after,delta_semantic_entropy_proxy,cluster_distribution_l1,embedding_centroid_delta_norm,selected_logit_l2,selected_prob_l1,selected_kl_before_after,rank_displacement_mean,top5_jaccard,selected_top1_changed,target_in_topk,target_correct_changed,delta_target_prob_topk,non_target_mass_delta
bert-base-uncased,2,A person who teaches is a [MASK].,teacher,factual_simple,role,correct,4,random,8,0,0.5447297495503911,0.3114433163110989,0.26029581959649156,3.211392417317606,0.5717391359075906,0.14403400525673532,8,0.07941090557438595,0.194060989758085,random_route,accessible,decrease,0.40232127199038475,0.05,0.12427878782704528,-0.027903553371887026,0.0012464475267474368,1.0,3.182140452531054,-0.0292519647865519,0.0292519647865519,0.6404100041373545,0.06867086822976387,0.06867086822976387,1.298811618885117,-0.013172042247044491,0.033057507111992845,0.013692908168763509,0.25343278543964326,0.041868896045506525,0.0012464475267473319,0.012096774193548387,1.0,0,1,0,-0.0009468899966666167,0.0009468899966666167
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,delta_pca,8,0,0.4045322278092457,0.12142740766281335,0.17874004332225762,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.04850557677233353,0.11313799535628888,high_rho_route,accessible,increase,0.425863586065224,0.05,0.11740848862420031,0.01742321781867613,0.0012480867539813182,1.0,3.336225264809081,0.0160220987443509,0.0160220987443509,0.26338631907475396,-0.03678113191031773,0.03678113191031773,1.374623284927285,0.0006954528501044166,0.005057589935930501,0.011541298923921691,0.2541616099501916,0.04256189258676236,0.0012480867539813429,0.020161290322580645,1.0,0,0,0,,
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,delta_pca,8,0,0.4045322278092457,0.12142740766281335,0.17874004332225762,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.04850557677233353,0.11313799535628888,high_rho_route,accessible,decrease,0.425863586065224,0.05,0.11740848862420031,-0.01742321781867613,0.0012497333933456163,1.0,3.3013937354124177,-0.018809430652312553,0.018809430652312553,0.3430460117322994,0.042878560747227734,0.042878560747227734,1.3731192673307475,-0.0008085647464330936,0.005349146734384358,0.0118443029478843,0.2630990477284153,0.04316122553278087,0.0012497333933456922,0.018145161290322582,1.0,0,0,0,,
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,state_pca,8,0,0.31874947908766116,0.09567821864056245,0.20448923234450855,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.03313617476329921,0.07103546065368667,low_rho_route,accessible,increase,0.6241309018064725,0.05,0.08011139947610504,0.015465947969698019,0.0012954130899219957,1.0,3.3349977903123182,0.01479462424758804,0.01479462424758804,0.27283048411552635,-0.027336966869545343,0.027336966869545343,1.3755561560288254,0.0016283239516448056,0.016950525657044996,0.008676915286356744,0.9709418960630575,0.0399141720714908,0.0012954130899220885,0.04233870967741935,0.6666666666666666,0,0,0,,
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,state_pca,8,0,0.31874947908766116,0.09567821864056245,0.20448923234450855,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.03313617476329921,0.07103546065368667,low_rho_route,accessible,decrease,0.6241309018064725,0.05,0.08011139947610504,-0.015465947969698019,0.001203895466837722,0.8181818181818182,3.304206711165322,-0.015996454899408263,0.015996454899408263,0.32793912703610634,0.027771676051034644,0.027771676051034644,1.3719635385214453,-0.0019642935557353525,0.015375504659930345,0.008124453853842566,0.8938301527991331,0.037808892998384636,0.0012038954668379597,0.018145161290322582,1.0,0,0,0,,
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,delta_pca,8,0,0.4045322278092457,0.12142740766281335,0.17874004332225762,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.04850557677233353,0.11313799535628888,entropy_gradient_route,entropy_gradient,increase,0.3252339246265307,0.05,0.15373549994028296,0.015775659099939526,0.0012582624968347003,0.8181818181818182,3.3346529637461035,0.014449797681373333,0.014449797681373333,0.2664208130425742,-0.03374663794249749,0.03374663794249749,1.3752333486256347,0.001305516548454122,0.008800030614116994,0.011073877050120093,0.27093920220942874,0.04324045304745437,0.00125826249683485,0.03024193548387097,1.0,0,0,0,,
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,delta_pca,8,0,0.4045322278092457,0.12142740766281335,0.17874004332225762,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.04850557677233353,0.11313799535628888,entropy_gradient_route,entropy_gradient,decrease,0.3252339246265307,0.05,0.15373549994028296,-0.015775659099939526,0.0012404226735596067,1.0,3.3031549460140024,-0.017048220050727814,0.017048220050727814,0.33902605235435224,0.03885860136928054,0.03885860136928054,1.3725297758226138,-0.001398056254566793,0.008878800308522394,0.011017608213347302,0.27680298452752133,0.04278568922241154,0.0012404226735594531,0.020161290322580645,1.0,0,0,0,,
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,delta_pca,8,0,0.4045322278092457,0.12142740766281335,0.17874004332225762,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.04850557677233353,0.11313799535628888,varentropy_gradient_route,varentropy_gradient,increase,0.32706086661866124,0.05,0.1528767428427866,0.015695664506665364,0.0012567678542440884,0.8181818181818182,3.33456291136915,0.014359745304419747,0.014359745304419747,0.2659048982238259,-0.03426255276124579,0.03426255276124579,1.3753477173623878,0.0014198852852072008,0.008672330196233258,0.011193000400635453,0.26910283329649837,0.04262445136403191,0.0012567678542441912,0.02620967741935484,1.0,0,0,0,,
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,delta_pca,8,0,0.4045322278092457,0.12142740766281335,0.17874004332225762,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.04850557677233353,0.11313799535628888,varentropy_gradient_route,varentropy_gradient,decrease,0.32706086661866124,0.05,0.1528767428427866,-0.015695664506665364,0.0012420013749247737,1.0,3.3032150197873937,-0.01698814627733647,0.01698814627733647,0.339742413403437,0.039574962418365334,0.039574962418365334,1.3723388140011619,-0.0015890180760187445,0.009035833311289682,0.011235499386976067,0.2745937408769459,0.0423020065651879,0.0012420013749248997,0.020161290322580645,1.0,0,0,0,,
bert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,4,random,8,0,0.44672538356114533,0.13409241967387714,0.16607503131119355,3.32020316606473,0.3001674509850717,0.08535758836461134,8,0.05739404760891726,0.13241780180222892,random_route,accessible,increase,0.37641031469788594,0.05,0.13283376689645435,0.018309315912526443,0.0012337900646677705,0.8181818181818182,3.3369830170599206,0.016779850995190415,0.016779850995190415,0.2616088042437409,-0.038558646741330804,0.038558646741330804,1.3756267696474116,0.001698937570230985,0.013788042500639058,0.011587673770910904,0.24425741393685318,0.038840698803587946,0.0012337900646676248,0.028225806451612902,1.0,0,0,0,,
