model,prompt_id,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,delta_pca,8,0,32,8,0.2487208936517584,0.0770954757214299,0.2328723544415384,3.331174043193524,0.3099678301629677,0.0958311094647142,0.0432567596435546,0.2517680269627373,3.4615449079504543,0.5017649120481994,0.0393284111625918,0.0980989410068136,38.82015203853334
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,random,8,0,32,8,0.2630758682440675,0.0815450560478525,0.2284227741151158,3.331174043193524,0.3099678301629677,0.0958311094647142,0.0432567596435546,0.2571241843003858,3.0227248103458093,0.5070741408318766,0.0487331144009827,0.1225580420511243,38.82015203853334
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,state_pca,8,0,64,8,0.2475090733827594,0.092914778838016,0.28248470679752,4.003450832413206,0.375399485635535,0.0646941006994343,0.0432567596435546,0.2575044088507437,4.787302165645594,0.507448922405737,0.0610675152487079,0.1537933869822549,52.41635648823345
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,delta_pca,8,0,64,8,0.153271401995842,0.0575380054718765,0.3178614801636594,4.003450832413206,0.375399485635535,0.0646941006994343,0.0432567596435546,0.258189715768818,4.81520484226123,0.5081237209271163,0.0368732318637852,0.1006678668737585,52.41635648823345
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,random,8,0,64,8,0.227954731618502,0.0855740889977723,0.2898253966377636,4.003450832413206,0.375399485635535,0.0646941006994343,0.0432567596435546,0.2534173449166009,4.334803980063928,0.5034057458120645,0.0453595521022416,0.1196641756595,52.41635648823345
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,state_pca,8,0,128,8,0.1432715383863824,0.0647987930537456,0.387480799833662,4.6709115790657245,0.4522795928874081,0.0445407346364799,0.0432567596435546,0.2623746499410716,6.766016423308085,0.5122251945590647,0.0551414454936324,0.1547819111940884,70.35291603161635
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,delta_pca,8,0,128,8,0.0410011705990342,0.0185439927464383,0.4337356001409693,4.6709115790657245,0.4522795928874081,0.0445407346364799,0.0432567596435546,0.268894649222178,7.1465845878839565,0.5185505271641117,0.0219264532210992,0.0731545827195772,70.35291603161635
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,random,8,0,128,8,0.1579582285785843,0.0714412833147382,0.3808383095726693,4.6709115790657245,0.4522795928874081,0.0445407346364799,0.0432567596435546,0.2510013246759156,6.161914844039847,0.5010003240277551,0.0436302539574213,0.1251961146213056,70.35291603161635
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,state_pca,8,0,256,8,0.0947778830199785,0.0550298916996866,0.5255896573578366,5.312329396743146,0.5806195490575216,0.0320333039229072,0.0432567596435546,0.2640064097664755,9.516380069410657,0.5138155406042868,0.0481022667549764,0.1504098346842818,93.12355301104924
distilbert-base-uncased,3,ambiguous_open,polysemy,ambiguous,2,delta_pca,8,0,256,8,0.0379724112978944,0.0220475243244102,0.558572024733113,5.312329396743146,0.5806195490575216,0.0320333039229072,0.0432567596435546,0.2724889391302075,10.077146753143271,0.5220047309461932,0.0255759268108878,0.0776268532563601,93.12355301104924
