pair_id,corruption,low_flip_rate,high_flip_rate,low_minus_high_flip_rate,low_true_prob_drop,high_true_prob_drop,low_minus_high_true_prob_drop,low_entropy_increase,high_entropy_increase,low_minus_high_entropy_increase,low_robust_accuracy,high_robust_accuracy,high_minus_low_robust_accuracy
7,brightness,0.0,0.0,0.0,-0.22126030566180868,-0.2515353825165069,0.03027507685469824,-0.7355348124797855,-0.7296828793621756,-0.005851933117609898,1.0,1.0,0.0
7,contrast,0.6666666666666666,0.0,0.6666666666666666,0.11844389628601165,0.05177788899918213,0.06666600728682953,0.027118875734870224,0.10356448231692898,-0.07644560658205876,0.3333333333333333,1.0,0.6666666666666667
7,gaussian_noise,0.0,0.0,0.0,0.006232258744349332,0.01104024832624286,-0.004807989581893528,0.0070238555217381204,0.02477389794375277,-0.01775004242201465,1.0,1.0,0.0
7,jpeg_compression,0.0,0.0,0.0,0.016839704149657148,-0.0019413403391807897,0.01878104448883794,0.03333551921029473,-0.007699655273532076,0.041035174483826806,1.0,1.0,0.0
8,brightness,0.3333333333333333,0.0,0.3333333333333333,0.057141256660536655,0.021401663236757018,0.035739593423779636,0.03796175024200651,0.013976806392025662,0.023984943849980844,0.6666666666666666,1.0,0.33333333333333337
8,contrast,0.0,0.0,0.0,0.0034431680943543355,-0.006863926465996299,0.010307094560350635,-0.0025942231650045353,-0.06666683989284843,0.0640726167278439,1.0,1.0,0.0
8,gaussian_noise,0.0,0.0,0.0,0.00024831655986503237,0.0001701117724078697,7.820478745716267e-05,-0.01053219286111536,0.0034322386074419806,-0.013964431468557342,1.0,1.0,0.0
8,jpeg_compression,0.0,0.0,0.0,-0.0015295807980640712,0.0006371996082146595,-0.002166780406278731,-0.009138600490812424,0.0013034928734252382,-0.010442093364237662,1.0,1.0,0.0
9,brightness,0.6666666666666666,0.6666666666666666,0.0,-0.05416093546149355,0.04721524961095395,-0.1013761850724475,-0.3105986434996162,-0.3657498383995082,0.05515119489989201,0.3333333333333333,0.3333333333333333,0.0
9,contrast,0.0,0.0,0.0,-0.02151683762093824,-0.019357169920099837,-0.0021596677008384017,-0.04479207884954254,-0.0703685276720351,0.025576448822492555,1.0,1.0,0.0
9,gaussian_noise,0.0,0.0,0.0,0.003237858232455648,0.004837600873354793,-0.0015997426408991449,0.005985868363040196,0.01165116268553675,-0.005665294322496554,1.0,1.0,0.0
9,jpeg_compression,0.0,0.0,0.0,0.008077408416849044,0.0032928275453468214,0.004784580871502223,0.026866954945396742,0.006915567259280442,0.0199513876861163,1.0,1.0,0.0
10,brightness,0.6666666666666666,1.0,-0.33333333333333337,0.006414428703553465,0.08725026952081845,-0.08083584081726498,-0.04663628311498987,0.06102427800370277,-0.10766056111869264,0.3333333333333333,0.0,-0.3333333333333333
10,contrast,0.0,0.3333333333333333,-0.3333333333333333,-0.002337628489863556,0.11106813348321516,-0.11340576197307872,0.037968438179167396,0.23334833783424416,-0.19537989965507677,1.0,0.6666666666666666,-0.33333333333333337
10,gaussian_noise,0.0,0.0,0.0,0.010375609801426322,-0.012408464178182033,0.022784073979608355,0.021703751694420664,-0.016914133077544784,0.03861788477196545,1.0,1.0,0.0
10,jpeg_compression,0.0,0.0,0.0,-0.0007450428677804691,-0.005197282692958734,0.0044522398251782645,-0.0017424561038138127,-0.007406021971809802,0.00566356586799599,1.0,1.0,0.0
11,brightness,0.6666666666666666,0.6666666666666666,0.0,0.05492069732219489,0.09090113560929801,-0.035980438287103116,-0.005596176685624288,0.059984676511573166,-0.06558085319719745,0.3333333333333333,0.3333333333333333,0.0
11,contrast,0.0,0.0,0.0,0.007966357957511347,0.09711021941231739,-0.08914386145480604,0.03879794164784145,0.1973986612942286,-0.15860071964638714,1.0,1.0,0.0
11,gaussian_noise,0.0,0.0,0.0,0.007620183384883461,8.955183297089848e-05,0.007530631551912563,0.019664766583142868,0.0004900512926026371,0.01917471529054023,1.0,1.0,0.0
11,jpeg_compression,0.0,0.0,0.0,-0.0012424362789291525,0.0014060281353810988,-0.0026484644143102516,-0.0005730839924438236,0.005880314707200999,-0.006453398699644823,1.0,1.0,0.0
