model,init_state,split,prompt_id,task,topic,observed_condition,layer,route_source,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm
distilbert-base-uncased,pretrained,test,0,ambiguous_open,polysemy,ambiguous,2,train_route,delta_pca,8,0,32,8,0.32822967890481275,0.10174064136521263,0.2082271887977558,3.3311740431935233,0.3099678301629677,0.09583110946471422,0.04325675964355469,0.2743710679402461,3.4649477151181673,0.5238044176410181,0.06178913754621667,0.16739539130128803,38.82015203853334
distilbert-base-uncased,pretrained,test,0,ambiguous_open,polysemy,ambiguous,2,test_oracle,state_pca,8,0,32,8,0.4188180687852516,0.12982012801440926,0.18014770214855913,3.3311740431935233,0.3099678301629677,0.09583110946471422,0.04325675964355469,0.21495553913212498,2.9769215243601463,0.46363297890909894,0.056773407191207374,0.1287866343715498,38.82015203853334
distilbert-base-uncased,pretrained,test,0,ambiguous_open,polysemy,ambiguous,2,test_oracle,delta_pca,8,0,32,8,0.4230967925592089,0.13114639473848952,0.17882143542447884,3.3311740431935233,0.3099678301629677,0.09583110946471422,0.04325675964355469,0.21666178798676328,2.9867213345961567,0.465469427553264,0.06407513020713772,0.16462730205465637,38.82015203853334
distilbert-base-uncased,pretrained,test,0,ambiguous_open,polysemy,ambiguous,2,random_route,random,8,0,32,8,0.5427114980442206,0.1682231054532611,0.14174472470970706,3.3311740431935233,0.3099678301629677,0.09583110946471422,0.04325675964355469,0.27186797407415275,3.207814132617823,0.5214096029746218,0.06854077133001442,0.16280528173142556,38.82015203853334
distilbert-base-uncased,pretrained,test,2,factual_simple,common,correct,2,train_route,state_pca,8,0,32,8,0.5748266951695136,0.24058349245900587,0.17794872687026317,3.2913492847306967,0.41853221932926965,0.1116930405987114,0.0484318733215332,0.19912779239452266,3.6544676057660137,0.446237372252171,0.09547285066665057,0.2559497543719055,34.31526771627291
distilbert-base-uncased,pretrained,test,2,factual_simple,common,correct,2,train_route,delta_pca,8,0,32,8,0.35552158723022365,0.14879723892292993,0.2697349804063396,3.2913492847306967,0.41853221932926965,0.1116930405987114,0.0484318733215332,0.23763340663713434,3.0813334799943326,0.4874765703468571,0.08232228826093975,0.22330992101373714,34.31526771627291
distilbert-base-uncased,pretrained,test,2,factual_simple,common,correct,2,test_oracle,state_pca,8,0,32,8,0.5692672220080277,0.2382566738184277,0.18027554551084174,3.2913492847306967,0.41853221932926965,0.1116930405987114,0.0484318733215332,0.15251351605535943,3.0207307048258643,0.3905297889474751,0.08112324870185596,0.20517657828194374,34.31526771627291
distilbert-base-uncased,pretrained,test,2,factual_simple,common,correct,2,test_oracle,delta_pca,8,0,32,8,0.3095083715948146,0.12953922566456594,0.28899299366470355,3.2913492847306967,0.41853221932926965,0.1116930405987114,0.0484318733215332,0.22800803407318065,2.7552357786253605,0.4775018681358018,0.08283253392281378,0.2239675191139809,34.31526771627291
distilbert-base-uncased,pretrained,test,2,factual_simple,common,correct,2,random_route,random,8,0,32,8,0.3826346687130208,0.16014493708878033,0.2583872822404893,3.2913492847306967,0.41853221932926965,0.1116930405987114,0.0484318733215332,0.20664244189704428,2.9344340905688266,0.4545794120910496,0.06780810381918473,0.17568453727492261,34.31526771627291
distilbert-base-uncased,pretrained,test,3,ambiguous_open,open,ambiguous,2,train_route,state_pca,8,0,32,8,0.3473696554568961,0.1125618889009579,0.21147876097361157,3.322089037644694,0.3240406498745694,0.10369101013554494,0.21242237091064453,0.27086960085905853,3.957212730372972,0.5204513434117146,0.059352279925115436,0.14272076036961037,38.485320931848726
distilbert-base-uncased,pretrained,test,3,ambiguous_open,open,ambiguous,2,train_route,delta_pca,8,0,32,8,0.4148878696901986,0.13444053491948765,0.18960011495508197,3.322089037644694,0.3240406498745694,0.10369101013554494,0.21242237091064453,0.2919392665479797,3.6973315189827054,0.5403140443741766,0.05937727368488532,0.16494822280754076,38.485320931848726
distilbert-base-uncased,pretrained,test,3,ambiguous_open,open,ambiguous,2,test_oracle,state_pca,8,0,32,8,0.3258221044683856,0.10557960647543554,0.21846104339913403,3.322089037644694,0.3240406498745694,0.10369101013554494,0.21242237091064453,0.2508540518018053,3.4476286438416954,0.5008533236405698,0.07044311071375842,0.1746803380479964,38.485320931848726
distilbert-base-uncased,pretrained,test,3,ambiguous_open,open,ambiguous,2,test_oracle,delta_pca,8,0,32,8,0.24883356622215758,0.08063219050923466,0.24340845936533487,3.322089037644694,0.3240406498745694,0.10369101013554494,0.21242237091064453,0.24541277372537712,3.3362517784824486,0.49539153578293715,0.05916181443442229,0.15873978730794347,38.485320931848726
distilbert-base-uncased,pretrained,test,3,ambiguous_open,open,ambiguous,2,random_route,random,8,0,32,8,0.5031459117493655,0.16303972822499718,0.16100092164957236,3.322089037644694,0.3240406498745694,0.10369101013554494,0.21242237091064453,0.2634460275313902,3.360152111783919,0.5132699363214157,0.08823405182550582,0.23188105480272528,38.485320931848726
distilbert-base-uncased,pretrained,test,5,factual_simple,math,error,2,train_route,state_pca,8,0,32,8,0.45169295659406977,0.2783528418928032,0.33789064348648035,3.1795329179560086,0.6162434853792849,0.12457196236003168,0.0354156494140625,0.2618051872749886,3.6148938584981987,0.5116690212187841,0.09330516037133849,0.21183869680007839,38.949615359774164
distilbert-base-uncased,pretrained,test,5,factual_simple,math,error,2,train_route,delta_pca,8,0,32,8,0.7043016360287502,0.4340212949446889,0.18222219043459542,3.1795329179560086,0.6162434853792849,0.12457196236003168,0.0354156494140625,0.30815972978417366,3.808896024262175,0.5551213649141723,0.13778136301434682,0.32358322675652185,38.949615359774164
distilbert-base-uncased,pretrained,test,5,factual_simple,math,error,2,test_oracle,state_pca,8,0,32,8,0.4531492138359451,0.27925025093114525,0.3369932344481391,3.1795329179560086,0.6162434853792849,0.12457196236003168,0.0354156494140625,0.2765674606352607,3.5523225686138957,0.5258968155781709,0.08987645522492596,0.20658712546284252,38.949615359774164
distilbert-base-uncased,pretrained,test,5,factual_simple,math,error,2,test_oracle,delta_pca,8,0,32,8,0.45857719157986565,0.28259520685462003,0.3336482785246638,3.1795329179560086,0.6162434853792849,0.12457196236003168,0.0354156494140625,0.4137467691130853,4.181719295734831,0.643231505068809,0.13716621577092403,0.3107010567994113,38.949615359774164
distilbert-base-uncased,pretrained,test,5,factual_simple,math,error,2,random_route,random,8,0,32,8,0.40665058314309194,0.2505957726876173,0.36564771269166657,3.1795329179560086,0.6162434853792849,0.12457196236003168,0.0354156494140625,0.24353647198656433,3.1919405650789177,0.4934941458483214,0.09602913085407976,0.23540682867160834,38.949615359774164
distilbert-base-uncased,pretrained,test,6,ambiguous_open,polysemy,ambiguous,2,train_route,state_pca,8,0,32,8,0.37611839440708006,0.07325520152694327,0.12151113432967998,3.3757646457673163,0.1947663358566239,0.07260821366131581,0.0675210952758789,0.2770842998500581,3.512164756009304,0.5263879746442334,0.06289117999825533,0.1588598054822872,38.428451223113505
distilbert-base-uncased,pretrained,test,6,ambiguous_open,polysemy,ambiguous,2,train_route,delta_pca,8,0,32,8,0.450525641936651,0.0877472284894546,0.10701910736716887,3.3757646457673163,0.1947663358566239,0.07260821366131581,0.0675210952758789,0.33198483033055365,3.61575588560093,0.5761812478123126,0.0578624349450056,0.13748016946511937,38.428451223113505
distilbert-base-uncased,pretrained,test,6,ambiguous_open,polysemy,ambiguous,2,test_oracle,state_pca,8,0,32,8,0.44946001769865634,0.08753968076122037,0.10722665509540291,3.3757646457673163,0.1947663358566239,0.07260821366131581,0.0675210952758789,0.2516075309055473,3.223893160688817,0.5016049550249153,0.058709002959308615,0.13003851137510966,38.428451223113505
distilbert-base-uncased,pretrained,test,6,ambiguous_open,polysemy,ambiguous,2,test_oracle,delta_pca,8,0,32,8,0.5131112429440421,0.09993679667504875,0.09482953918157463,3.3757646457673163,0.1947663358566239,0.07260821366131581,0.0675210952758789,0.29666211777078866,3.32926629565935,0.5446669787776643,0.05666152617776087,0.13312466955257987,38.428451223113505
distilbert-base-uncased,pretrained,test,6,ambiguous_open,polysemy,ambiguous,2,random_route,random,8,0,32,8,0.41597070319694274,0.08101708968537154,0.11374924617125184,3.3757646457673163,0.1947663358566239,0.07260821366131581,0.0675210952758789,0.3049333914406869,3.3639517363141596,0.5522077430104425,0.07189097812637858,0.15178292128862625,38.428451223113505
distilbert-base-uncased,pretrained,test,10,factual_deep,math,error,2,train_route,state_pca,8,0,32,8,0.8407483874851642,2.9376999445462726,0.5564488260906659,1.6863711181970942,3.49414877063694,0.6680473629382935,2.784635543823242,0.17805997686889385,3.670618295965808,0.42197153561454104,0.44263202038710614,0.27715189805637896,40.77965841028175
distilbert-base-uncased,pretrained,test,10,factual_deep,math,error,2,train_route,delta_pca,8,0,32,8,0.826694006395199,2.8885918461387075,0.6055569244982273,1.6863711181970942,3.49414877063694,0.6680473629382935,2.784635543823242,0.17533444677633384,3.6135896500583837,0.4187295628163049,0.4533208428438801,0.29047882889542803,40.77965841028175
distilbert-base-uncased,pretrained,test,10,factual_deep,math,error,2,test_oracle,state_pca,8,0,32,8,0.9332627878514949,3.2609590228525,0.2331897477844328,1.6863711181970942,3.49414877063694,0.6680473629382935,2.784635543823242,0.28356313806343425,3.3563331030569246,0.5325064676259194,0.7690000382656822,0.45046243240414613,40.77965841028175
distilbert-base-uncased,pretrained,test,10,factual_deep,math,error,2,test_oracle,delta_pca,8,0,32,8,0.8233992462507891,2.877079464030574,0.617069306606366,1.6863711181970942,3.49414877063694,0.6680473629382935,2.784635543823242,0.17283029422973795,3.4914751214297532,0.4157286305148323,0.524603207693419,0.32867110606875694,40.77965841028175
