split,fold,budget,policy,cluster_id,example_id,model,task,layer,route_family,subspace_dim,rho,entropy,varentropy,confidence,projected_gradient_norm,unit_fisher_output_energy,jacobian_norm,safe_movement,safe_varentropy_movement,abs_delta_entropy,abs_delta_varentropy,drift,top1_preserved,topk_jaccard,applied_fisher_energy,regret_vs_oracle
leave_one_model_out,microsoft__phi-2,0.3,lowest_confidence,microsoft/phi-2::factual_error_prompt::10,microsoft/phi-2::factual_error_prompt::10::same_fisher_output_energy::0.05,microsoft/phi-2,factual_error_prompt,8.0,state_pca,1.0,0.0026958605922982,1.5842417076329558,0.3871031248748005,0.3115411127548245,19.770671119097,1.0,6.4803199972751,0.0,0.0,0.000580541410553,0.0037289595683666,0.0003109307677834,1.0,1.0,0.0025,0.3086419753086419
leave_one_task_out,ambiguous_prompt,0.2,lowest_confidence,microsoft/phi-2::ambiguous_prompt::4,microsoft/phi-2::ambiguous_prompt::4::same_fisher_output_energy::0.025,microsoft/phi-2,ambiguous_prompt,24.0,random,4.0,0.936267876265598,1.4991650160938117,0.6266755877267156,0.4111105846549515,8.2594515641002,1.0,2.866717064887476,1.0,0.0,0.012163907506965,0.0057854008223715,8.088657349420651e-05,1.0,1.0,0.000625,0.5802469135802469
leave_one_task_out,masked_factual_cloze,0.1,controls_only_learned,distilgpt2::masked_factual_cloze::2,distilgpt2::masked_factual_cloze::2::same_fisher_output_energy::0.01,distilgpt2,masked_factual_cloze,4.0,state_pca,4.0,0.9794426514562384,0.2802808813511891,0.8379943075706058,0.9409780712996834,145.28114001669329,1.0,10.671416187148049,0.0,1.0,0.0055816910351579,0.0165104145130946,1.1587324228855863e-05,1.0,1.0,0.0001,0.8395061728395061
grouped_example_5fold,fold_4,0.2,rho_shuffled_within_varentropy_bin,distilgpt2::decoder_completion::17,distilgpt2::decoder_completion::17::same_fisher_output_energy::0.1,distilgpt2,decoder_completion,1.0,random,1.0,0.8894992208576187,0.9827246805156912,0.2447533735328209,0.5675365293435871,352.28459750326294,1.0,19.04165831801627,0.0,0.0,0.0507786734171746,0.092413053619789,0.0012232472985285,1.0,1.0,0.01,0.4523809523809524
leave_one_task_out,ambiguous_prompt,0.3,highest_fisher_output_energy,microsoft/phi-2::ambiguous_prompt::7,microsoft/phi-2::ambiguous_prompt::7::same_fisher_output_energy::0.2,microsoft/phi-2,ambiguous_prompt,8.0,delta_pca,2.0,0.2708292819953322,0.3934487206702749,0.7090136162450366,0.8886935169554622,59.28188858822777,1.0,6.978223135834095,0.0,0.0,0.745328910870651,0.4429038015550443,0.0714605720708764,1.0,0.5,0.04,0.2818930041152263
leave_one_task_out,ambiguous_prompt,0.3,highest_gradient_norm,distilgpt2::ambiguous_prompt::5,distilgpt2::ambiguous_prompt::5::same_fisher_output_energy::0.01,distilgpt2,ambiguous_prompt,1.0,random,2.0,0.988555642964028,0.1733749775285795,0.7263111265517137,0.9713230249489818,277.0197985313675,1.0,20.12643306297755,0.0,1.0,0.0089123143387195,0.0263299530706137,1.3777361445098896e-05,1.0,1.0,0.0001,0.2839506172839506
leave_one_route_family_out,delta_pca,0.2,within_example_shuffled_rho,microsoft/phi-2::masked_factual_cloze::0,microsoft/phi-2::masked_factual_cloze::0::same_fisher_output_energy::0.01,microsoft/phi-2,masked_factual_cloze,24.0,delta_pca,1.0,0.0539252410192153,1.0201092153128413,0.419713757878418,0.4572574529615157,24.640820830997637,1.0,3.200711891057936,0.0,0.0,0.0019040057908779,0.0031807806344766,9.076160466778595e-06,1.0,1.0,0.0001,0.4362139917695473
leave_one_route_family_out,random,0.3,shuffled_rho,distilgpt2::masked_factual_cloze::2,distilgpt2::masked_factual_cloze::2::same_fisher_output_energy::0.01,distilgpt2,masked_factual_cloze,4.0,random,1.0,0.8871707139682067,0.2802808813511891,0.8379943075706058,0.9409780712996834,145.28114001669329,1.0,10.671416187148049,0.0,1.0,0.0089975442322456,0.0175339549080149,1.3261357769677267e-05,1.0,1.0,0.0001,0.2359396433470507
grouped_example_5fold,fold_3,0.2,rho_shuffled_within_gradient_bin,Qwen/Qwen2.5-0.5B::ambiguous_prompt::7,Qwen/Qwen2.5-0.5B::ambiguous_prompt::7::same_fisher_output_energy::0.05,Qwen/Qwen2.5-0.5B,ambiguous_prompt,18.0,random,2.0,0.9512033193704936,0.8455537752330398,1.2464208657391995,0.7677609043461893,42.33824149880173,1.0,8.485905600523063,0.0,0.0,0.0567257439601096,0.0124096644454243,0.0003532723819311,1.0,1.0,0.0025,0.4545454545454546
leave_one_task_out,decoder_qa_completion,0.1,highest_entropy,microsoft/phi-2::decoder_qa_completion::13,microsoft/phi-2::decoder_qa_completion::13::same_fisher_output_energy::0.05,microsoft/phi-2,decoder_qa_completion,8.0,state_pca,4.0,0.6879448863659208,1.633389060156753,0.6326880979159712,0.3836647942255646,10.345648833258842,1.0,5.609909921401342,0.0,0.0,0.0131650863707779,0.0229102838889838,0.0002957759953451,1.0,1.0,0.0025,0.9876543209876544
