split,budget,contrast,metric,policy,control,delta_policy_minus_control,ci_low,median,ci_high
grouped_example_5fold,0.1,rho_only_vs_shuffled_rho,topk_preservation,0.922418319487304,0.9581683423360176,-0.035750022848713536,-0.06775860662518086,-0.033386443232381435,-0.00302775515928019
grouped_example_5fold,0.1,rho_only_vs_random,safe_movement_rate,0.1610792975519568,0.09414345266474214,0.06693584488721466,0.036170191043767175,0.06642607793453643,0.09496145490731998
grouped_example_5fold,0.1,rho_only_vs_random,movement_per_drift,17.092822010824072,20.170283111072393,-3.077461100248321,-13.857918160083129,-9.94089927385238,5.014026286017294
grouped_example_5fold,0.1,rho_only_vs_random,regret_vs_oracle,0.8389207024480431,0.9058565473352578,-0.06693584488721471,-0.09510303683847837,-0.06523939668385773,-0.03679191699714815
grouped_example_5fold,0.1,rho_only_vs_random,topk_preservation,0.922418319487304,0.9506290061653688,-0.02821068667806481,-0.05781535559398074,-0.02761458043512116,-0.00025220671571305695
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,safe_movement_rate,0.1610792975519568,0.042360641766517,0.1187186557854398,0.08102094497918702,0.11712325305538701,0.14556166531933246
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,movement_per_drift,17.092822010824072,15.151546480126507,1.941275530697565,-10.180452610004876,-5.523931707637962,10.401781541055938
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,regret_vs_oracle,0.8389207024480431,0.957639358233483,-0.11871865578543994,-0.14809045333920737,-0.11687420142426941,-0.08187355767794938
grouped_example_5fold,0.1,rho_only_vs_highest_entropy,topk_preservation,0.922418319487304,0.9621050738115322,-0.03968675432422819,-0.07649484822584647,-0.037514071812028704,0.00704945761413561
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.1610792975519568,0.12728613749628162,0.033793160055675175,-0.013016888893703104,0.028580839713229736,0.07379867683205023
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,movement_per_drift,17.092822010824072,27.858410316265747,-10.765588305441675,-23.935944400502738,-17.84549925013322,-0.8282746138450814
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.8389207024480431,0.8727138625037183,-0.03379316005567523,-0.07338158623571485,-0.028855473896115286,0.015754518393774612
grouped_example_5fold,0.1,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.922418319487304,0.9798462994689203,-0.057427979981616306,-0.09607793812595332,-0.054124258274883874,-0.016105366070887795
