split,budget,policy,folds,mean_test_n,mean_selected_n,safe_movement_rate,safe_varentropy_movement_rate,mean_abs_delta_entropy,mean_abs_delta_varentropy,mean_output_drift,movement_per_drift,top1_preserved_rate,topk_preservation,failure_rate,regret_vs_oracle,minimal_energy_to_target
grouped_example_5fold,0.2,shuffled_rho,5,1458.0,291.6,0.12550905884239216,0.16428838651060873,0.040987512246056824,0.04994367883384558,0.00212832684886927,21.04980940003289,0.9606114050558496,0.9550756239645128,0.8744909411576078,0.4757896424563091,0.01038169392336059
grouped_example_5fold,0.2,within_example_shuffled_rho,5,1458.0,291.6,0.12801560579338359,0.17632408743519856,0.052678550454056616,0.07126877350376637,0.003645868913879747,18.152293311801987,0.9720324942547165,0.9415082037304259,0.8719843942066164,0.47328309550531766,0.010717283950617286
grouped_example_5fold,0.3,controls_only_learned,5,1458.0,437.8,0.16934956831346865,0.23692540773524456,0.07077095194420727,0.08968992450654567,0.006418558131535733,18.634689889903857,0.9937232016708644,0.8985620224842537,0.8306504316865313,0.23110762256000497,0.010681454338387075
grouped_example_5fold,0.3,controls_plus_rho_learned,5,1458.0,437.8,0.1850286250785872,0.22828662412584438,0.06943684518981655,0.0847308577635476,0.005008855329404389,19.638483388441582,0.995914982492782,0.9098908501696552,0.8149713749214127,0.2154285657948864,0.010681454338387075
grouped_example_5fold,0.3,gradient_only_learned,5,1458.0,437.8,0.14001772010617763,0.2052946043490098,0.06050880567884885,0.07809816055135324,0.006135827843818002,16.1071542448641,0.9737351147478716,0.9140813634124443,0.8599822798938224,0.260439470767296,0.010681454338387075
grouped_example_5fold,0.3,gradient_plus_rho_learned,5,1458.0,437.8,0.1687986762573654,0.21337780694293174,0.06050465988109466,0.07585126299716535,0.0046930702196394235,18.40134357191821,0.9831243095350228,0.9338866238224922,0.8312013237426346,0.23165851461610823,0.010681454338387075
grouped_example_5fold,0.3,highest_entropy,5,1458.0,437.8,0.07177720552538826,0.13116425409522856,0.02625990096254524,0.038516685769800815,0.0013551828876637805,19.41543826008145,0.9369968146928238,0.9740474993318123,0.9282227944746116,0.3286799853480854,0.010681454338387075
grouped_example_5fold,0.3,highest_fisher_output_energy,5,1458.0,437.8,0.1289368835516224,0.14115583281953042,0.04054094338366745,0.046030673146860525,0.002317033118356548,22.138596447403263,0.9733332379940485,0.9623316693377918,0.8710631164483775,0.27152030732185123,0.010805905167530085
grouped_example_5fold,0.3,highest_gradient_norm,5,1458.0,437.8,0.14001772010617763,0.2052946043490098,0.06050880567884885,0.07809816055135324,0.006135827843818002,16.1071542448641,0.9737351147478716,0.9140813634124443,0.8599822798938224,0.260439470767296,0.010681454338387075
grouped_example_5fold,0.3,highest_jacobian_norm,5,1458.0,437.8,0.12135335414979946,0.1622526484549131,0.046753718494767824,0.055846162437359806,0.002794684682572739,20.264107100446473,0.9675215025297954,0.9437914089120346,0.8786466458502005,0.2791038367236741,0.010681454338387075
grouped_example_5fold,0.3,highest_varentropy,5,1458.0,437.8,0.15723171985677872,0.15708603276226185,0.04833427851365704,0.045266480831341924,0.0015262895035158268,31.668482788906818,1.0,0.9484165206513018,0.8427682801432212,0.24322547101669487,0.010681454338387075
grouped_example_5fold,0.3,lowest_confidence,5,1458.0,437.8,0.04788365963745287,0.09163574802823733,0.022117941936713452,0.03094482660123435,0.0013936254528881954,15.8424647241358,0.8810118661657453,0.9708032443091927,0.952116340362547,0.35257353123602075,0.010681454338387075
grouped_example_5fold,0.3,oracle,5,1458.0,437.8,0.4004571908734736,0.2685370977616611,0.1013648478531203,0.10511953282166486,0.006798436973650073,18.583779669790488,0.9887362766954061,0.9361259691969603,0.5995428091265264,0.0,0.018335744425170743
grouped_example_5fold,0.3,random,5,1458.0,437.8,0.1196100038211552,0.16175804557932863,0.04461386501631159,0.057037075611208424,0.0024709435978362503,20.20793431455159,0.961893882392275,0.9531073452093581,0.8803899961788447,0.2808471870523184,0.010175479765374355
grouped_example_5fold,0.3,rho_only,5,1458.0,437.8,0.16740424170978874,0.19686876103240744,0.059235818961933605,0.07249717884098189,0.00457300180825341,18.753109565837782,0.9813847771113778,0.93881387723962,0.8325957582902113,0.23305294916368488,0.010681454338387075
grouped_example_5fold,0.3,rho_shuffled_within_entropy_bin,5,1458.0,437.8,0.13974712988124952,0.19796846934836573,0.0546558148675658,0.06669423034660046,0.00434917687281576,17.489905334065824,0.9762386116953351,0.9353777573231676,0.8602528701187506,0.26071006099222405,0.01076296216081289
grouped_example_5fold,0.3,rho_shuffled_within_fisher_bin,5,1458.0,437.8,0.12445590682665034,0.15907755558307396,0.04534280052836318,0.05831553995445373,0.0023008932280871863,20.514564299541643,0.9631078873432006,0.9487936718116294,0.8755440931733496,0.2760012840468233,0.010689410120189254
grouped_example_5fold,0.3,rho_shuffled_within_gradient_bin,5,1458.0,437.8,0.12672860253301313,0.1837659905919627,0.05375759479203751,0.06681841484116799,0.004604003573382173,16.859215239015533,0.9685788325336209,0.9395444946817472,0.8732713974669869,0.2737285883404605,0.010898358163420854
grouped_example_5fold,0.3,rho_shuffled_within_varentropy_bin,5,1458.0,437.8,0.11863271764739913,0.16246733085646206,0.04737854943020488,0.056304015203033575,0.0031690494694603362,18.483170618526728,0.9557339700264122,0.9473464184335041,0.8813672823526009,0.2818244732260745,0.010242609319599277
grouped_example_5fold,0.3,shuffled_rho,5,1458.0,437.8,0.1250415413848876,0.16137648692719644,0.04120660330271054,0.050880850217286555,0.002287884029884294,20.579369169898875,0.9617084063139307,0.9537837241323123,0.8749584586151125,0.275415649488586,0.010365830510857143
grouped_example_5fold,0.3,within_example_shuffled_rho,5,1458.0,437.8,0.12611119615808683,0.17647200876514718,0.04970472939951005,0.06535949139405921,0.003083139240033959,19.029830499536935,0.9692716176140628,0.9459625691467123,0.8738888038419133,0.2743459947153868,0.010632728094526303
leave_one_model_out,0.05,controls_only_learned,3,2430.0,122.0,0.1721311475409836,0.3087431693989071,0.07601335672170582,0.09930604192720231,0.00769932610791355,18.369094368871423,0.9918032786885246,0.8707650273224044,0.8278688524590164,0.8278688524590164,0.010880327868852463
leave_one_model_out,0.05,controls_plus_rho_learned,3,2430.0,122.0,0.20218579234972678,0.31147540983606553,0.08100032336148637,0.10534839963454544,0.00793044875709852,19.506508250278973,0.9918032786885246,0.8715846994535519,0.7978142076502732,0.7978142076502732,0.010880327868852463
leave_one_model_out,0.05,gradient_only_learned,3,2430.0,122.0,0.17759562841530055,0.20218579234972678,0.0772043840679209,0.08129852581198327,0.008097240045018314,16.99466952893422,0.9918032786885246,0.9002732240437159,0.8224043715846995,0.8224043715846995,0.010880327868852463
leave_one_model_out,0.05,gradient_plus_rho_learned,3,2430.0,122.0,0.17759562841530055,0.23224043715846995,0.07329457489596058,0.08399381474121574,0.007591005614297587,20.938325657653596,0.9672131147540983,0.9275956284153005,0.8224043715846995,0.8224043715846995,0.010880327868852463
leave_one_model_out,0.05,highest_entropy,3,2430.0,122.0,0.02185792349726776,0.07103825136612023,0.01706435665089975,0.027537514261878226,0.0013577704275067673,12.549220876477817,0.8360655737704917,0.9166666666666666,0.9781420765027322,0.9781420765027322,0.010880327868852463
leave_one_model_out,0.05,highest_fisher_output_energy,3,2430.0,122.0,0.10382513661202186,0.11475409836065574,0.04755489681868006,0.05658076788559322,0.0018327148613846503,26.16869636927001,0.9890710382513661,0.9576502732240438,0.8961748633879781,0.8961748633879781,0.014902049180327871
leave_one_model_out,0.05,highest_gradient_norm,3,2430.0,122.0,0.17759562841530055,0.20218579234972678,0.0772043840679209,0.08129852581198327,0.008097240045018314,16.99466952893422,0.9918032786885246,0.9002732240437159,0.8224043715846995,0.8224043715846995,0.010880327868852463
leave_one_model_out,0.05,highest_jacobian_norm,3,2430.0,122.0,0.12568306010928962,0.15846994535519124,0.04281204923514722,0.05177507243146658,0.0015922876457708218,27.588713354920486,0.983606557377049,0.9426229508196721,0.8743169398907105,0.8743169398907105,0.010880327868852463
leave_one_model_out,0.05,highest_varentropy,3,2430.0,122.0,0.1721311475409836,0.1284153005464481,0.05691483788418374,0.04209639648519647,0.001551181280599988,36.72061774120797,1.0,0.8797814207650273,0.8278688524590164,0.8278688524590164,0.010880327868852463
leave_one_model_out,0.05,lowest_confidence,3,2430.0,122.0,0.013661202185792351,0.035519125683060114,0.01400970153146068,0.02078439203910633,0.0013533036003915866,10.355788275737744,0.76775956284153,0.9426229508196721,0.9863387978142076,0.9863387978142076,0.010880327868852463
leave_one_model_out,0.05,oracle,3,2430.0,122.0,1.0,0.6912568306010929,0.021609906891029863,0.023077184947440554,0.00010117252638105731,216.08936402265002,1.0,1.0,0.0,0.0,0.0008606557377049182
leave_one_model_out,0.05,random,3,2430.0,122.0,0.09562841530054644,0.1448087431693989,0.039770456012012144,0.04973487090401704,0.0019442296195514028,22.498581482234126,0.9644808743169399,0.9494535519125682,0.9043715846994536,0.9043715846994536,0.009488524590163937
