split,budget,contrast,metric,policy,control,delta_policy_minus_control,p_value,bh_fdr_q_value
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,safe_movement_rate,0.16204906204906205,0.06294692961359628,0.09910213243546577,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,movement_per_drift,18.668154530767627,18.134341960321777,0.5338125704458498,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,regret_vs_oracle,0.4392496392496392,0.538351771685105,-0.09910213243546573,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,rho_only_vs_highest_entropy,topk_preservation,0.9322740633851744,0.9682913794024905,-0.03601731601731617,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.2,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.16204906204906205,0.1292020736465181,0.032846988402543964,0.0007998400319936012,0.0017227323766016028
grouped_example_5fold,0.2,rho_only_vs_highest_fisher_output_energy,movement_per_drift,18.668154530767627,26.802139514584496,-8.13398498381687,0.007998400319936013,0.013729054955292466
grouped_example_5fold,0.2,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.4392496392496392,0.4720966276521832,-0.032846988402543964,0.0009998000399920016,0.002102865811814163
grouped_example_5fold,0.2,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.9322740633851744,0.9707845652290097,-0.03851050184383531,0.027994401119776045,0.041804972338865556
grouped_example_5fold,0.3,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.1850286250785872,0.16934956831346865,0.01567905676511855,0.0005998800239952009,0.001317383582107108
grouped_example_5fold,0.3,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,19.638483388441582,18.634689889903857,1.0037934985377248,0.0003999200159968006,0.0009003224480731995
grouped_example_5fold,0.3,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.2154285657948864,0.23110762256000497,-0.015679056765118576,0.0013997200559888023,0.0028633542697853124
grouped_example_5fold,0.3,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.9098908501696552,0.8985620224842537,0.011328827685401555,0.003799240151969606,0.006863143500332191
grouped_example_5fold,0.3,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.1687986762573654,0.14001772010617763,0.028780956151187753,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,18.40134357191821,16.1071542448641,2.294189327054113,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.23165851461610823,0.260439470767296,-0.02878095615118778,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9338866238224922,0.9140813634124443,0.01980526041004793,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.16740424170978874,0.12611119615808683,0.04129304555170191,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_within_example_shuffled_rho,movement_per_drift,18.753109565837782,19.029830499536935,-0.27672093369915274,0.0003999200159968006,0.0009003224480731995
grouped_example_5fold,0.3,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.23305294916368488,0.2743459947153868,-0.04129304555170191,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.3,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.93881387723962,0.9459625691467123,-0.0071486919070923305,0.16636672665466906,0.1956228176936791
grouped_example_5fold,0.3,rho_only_vs_shuffled_rho,safe_movement_rate,0.16740424170978874,0.1250415413848876,0.04236270032490114,0.0001999600079984003,0.0005089891112686554
