split,fold,budget,policy,test_n,selected_n,safe_movement_rate,safe_varentropy_movement_rate,mean_abs_delta_entropy,mean_abs_delta_varentropy,mean_output_drift,movement_per_drift,top1_preserved_rate,topk_preservation,failure_rate,regret_vs_oracle,minimal_energy_to_target
grouped_example_5fold,fold_0,0.1,rho_shuffled_within_varentropy_bin,1485,149.0,0.03355704697986577,0.11409395973154363,0.026840632051582596,0.0347905879017753,0.0011964564606518802,22.433438185421878,0.9328859060402684,0.9563758389261745,0.9664429530201343,0.9664429530201343,0.008853859060402687
grouped_example_5fold,fold_0,0.1,rho_shuffled_within_gradient_bin,1485,149.0,0.08053691275167785,0.11409395973154363,0.04694572722221471,0.05968293340390245,0.00199702121420768,23.507876074736878,0.9731543624161074,0.9664429530201343,0.9194630872483222,0.9194630872483222,0.01124832214765101
grouped_example_5fold,fold_0,0.1,rho_shuffled_within_fisher_bin,1485,149.0,0.087248322147651,0.087248322147651,0.041669388529423444,0.04101468827390305,0.0016827751368001344,24.76230342258294,0.9664429530201343,0.9429530201342282,0.912751677852349,0.912751677852349,0.012267114093959733
grouped_example_5fold,fold_0,0.1,controls_only_learned,1485,149.0,0.10738255033557047,0.12751677852348994,0.04495652573655962,0.04476694163731202,0.0016221345349354123,27.71442489407923,1.0,0.9228187919463087,0.8926174496644296,0.8926174496644296,0.010715771812080539
grouped_example_5fold,fold_0,0.1,controls_plus_rho_learned,1485,149.0,0.174496644295302,0.12751677852348994,0.05639929672184071,0.04947572638307938,0.0018303664507215546,30.81311761347426,1.0,0.9161073825503355,0.825503355704698,0.825503355704698,0.010715771812080539
grouped_example_5fold,fold_0,0.1,gradient_only_learned,1485,149.0,0.18791946308724833,0.1610738255033557,0.06231286436187784,0.0554383142601406,0.0023383861082691615,26.647808136356446,1.0,0.9932885906040269,0.8120805369127517,0.8120805369127517,0.010715771812080539
grouped_example_5fold,fold_0,0.1,gradient_plus_rho_learned,1485,149.0,0.15436241610738255,0.1476510067114094,0.04336395706929545,0.03983005644548109,0.0015881434259551008,27.304811618772156,1.0,0.9496644295302014,0.8456375838926175,0.8456375838926175,0.010715771812080539
grouped_example_5fold,fold_0,0.1,oracle,1485,149.0,1.0,0.7046979865771812,0.01678155989379303,0.018670969024154195,8.044902847180545e-05,208.59866442855025,1.0,1.0,0.0,0.0,0.0006491610738255035
grouped_example_5fold,fold_0,0.2,random,1485,297.0,0.11447811447811448,0.1414141414141414,0.03399400279031289,0.0407984612525537,0.0013560641051383261,25.068138491023113,0.9461279461279462,0.9528619528619529,0.8855218855218855,0.40740740740740733,0.010409090909090911
grouped_example_5fold,fold_0,0.2,highest_entropy,1485,297.0,0.03367003367003367,0.12457912457912458,0.01947575774028186,0.0346873187668777,0.0013514462743943263,14.411048451785664,0.8653198653198653,0.9629629629629629,0.9663299663299664,0.48821548821548816,0.010741666666666668
grouped_example_5fold,fold_0,0.2,highest_varentropy,1485,297.0,0.18855218855218855,0.1447811447811448,0.05522245584821685,0.04510114903967448,0.00144515043175726,38.21225433332084,1.0,0.9494949494949495,0.8114478114478114,0.33333333333333326,0.010741666666666668
grouped_example_5fold,fold_0,0.2,lowest_confidence,1485,297.0,0.026936026936026935,0.06060606060606061,0.019116035916012984,0.026090171684140594,0.0013698304016341912,13.955038443596946,0.7575757575757576,0.9511784511784511,0.9730639730639731,0.4949494949494949,0.010741666666666668
grouped_example_5fold,fold_0,0.2,highest_gradient_norm,1485,297.0,0.13468013468013468,0.13804713804713806,0.05132195398282054,0.046352541265496046,0.001964048698477711,26.13069320663943,1.0,0.9242424242424242,0.8653198653198653,0.38720538720538716,0.010741666666666668
grouped_example_5fold,fold_0,0.2,highest_fisher_output_energy,1485,297.0,0.12794612794612795,0.1750841750841751,0.03895703352397732,0.05180118566228723,0.0014634297618619683,26.620364392761186,0.9966329966329966,0.9410774410774411,0.8720538720538721,0.3939393939393939,0.010751515151515153
grouped_example_5fold,fold_0,0.2,highest_jacobian_norm,1485,297.0,0.10101010101010101,0.10774410774410774,0.03341872804367498,0.03808421672762548,0.0014735713598534917,22.678730704292192,0.9797979797979798,0.9478114478114478,0.898989898989899,0.42087542087542085,0.010741666666666668
grouped_example_5fold,fold_0,0.2,rho_only,1485,297.0,0.15488215488215487,0.14814814814814814,0.04688706747125382,0.04579322614682683,0.0016351560345460629,28.674368978046903,0.9865319865319865,0.9511784511784511,0.8451178451178452,0.367003367003367,0.010741666666666668
grouped_example_5fold,fold_0,0.2,shuffled_rho,1485,297.0,0.11784511784511785,0.15151515151515152,0.039854156707022546,0.04277072872048989,0.001757929125905962,22.671082764206098,0.9494949494949495,0.9528619528619529,0.8821548821548821,0.404040404040404,0.010291414141414143
grouped_example_5fold,fold_0,0.2,within_example_shuffled_rho,1485,297.0,0.11447811447811448,0.11447811447811448,0.03523274517031995,0.040571060977339965,0.0014530567380046397,24.247329267198545,0.9528619528619529,0.9478114478114478,0.8855218855218855,0.40740740740740733,0.010741666666666668
grouped_example_5fold,fold_0,0.2,rho_shuffled_within_entropy_bin,1485,297.0,0.12457912457912458,0.16161616161616163,0.04533731878928432,0.04771936429675951,0.0016026614138843441,28.288769166408645,0.9932659932659933,0.936026936026936,0.8754208754208754,0.3973063973063973,0.01070378787878788
grouped_example_5fold,fold_0,0.2,rho_shuffled_within_varentropy_bin,1485,297.0,0.06734006734006734,0.13468013468013468,0.030095346815180647,0.03496882399149896,0.001314234550766681,22.899524896544545,0.9494949494949495,0.9545454545454546,0.9326599326599326,0.4545454545454545,0.009765151515151517
grouped_example_5fold,fold_0,0.2,rho_shuffled_within_gradient_bin,1485,297.0,0.09427609427609428,0.1111111111111111,0.04243072996181193,0.051378210920624896,0.0016718071233221682,25.380158613928366,0.9730639730639731,0.9511784511784511,0.9057239057239057,0.42760942760942755,0.010814898989898993
grouped_example_5fold,fold_0,0.2,rho_shuffled_within_fisher_bin,1485,297.0,0.12457912457912458,0.1414141414141414,0.03751728199645192,0.04531051093018038,0.0015921709516708493,23.563601607654437,0.9629629629629629,0.9494949494949495,0.8754208754208754,0.3973063973063973,0.011466414141414144
grouped_example_5fold,fold_0,0.2,controls_only_learned,1485,297.0,0.14814814814814814,0.13468013468013468,0.05779333565671702,0.051190781833986725,0.002158729751257082,26.771917894336948,1.0,0.9074074074074074,0.8518518518518519,0.3737373737373737,0.010741666666666668
grouped_example_5fold,fold_0,0.2,controls_plus_rho_learned,1485,297.0,0.18181818181818182,0.1447811447811448,0.061486545963020285,0.05648118736052518,0.0021760684653511267,28.255795689359857,1.0,0.8973063973063973,0.8181818181818181,0.34006734006734,0.010741666666666668
grouped_example_5fold,fold_0,0.2,gradient_only_learned,1485,297.0,0.13468013468013468,0.13804713804713806,0.05132195398282054,0.046352541265496046,0.001964048698477711,26.13069320663943,1.0,0.9242424242424242,0.8653198653198653,0.38720538720538716,0.010741666666666668
grouped_example_5fold,fold_0,0.2,gradient_plus_rho_learned,1485,297.0,0.15488215488215487,0.13131313131313133,0.04584936353582901,0.04245544778264931,0.001631415084716297,28.104045356306248,1.0,0.9377104377104377,0.8451178451178452,0.367003367003367,0.010741666666666668
grouped_example_5fold,fold_0,0.2,oracle,1485,297.0,0.5218855218855218,0.37037037037037035,0.08465301937977993,0.07909407486489115,0.00323785351829662,26.144795896855285,1.0,0.9545454545454546,0.47811447811447816,0.0,0.017339898989898996
grouped_example_5fold,fold_0,0.3,random,1485,446.0,0.11210762331838565,0.15246636771300448,0.03571420876476115,0.041501981557277225,0.001358088699983399,26.29740514385968,0.9394618834080718,0.9540358744394619,0.8878923766816144,0.23542600896860988,0.010329428251121079
grouped_example_5fold,fold_0,0.3,highest_entropy,1485,446.0,0.04932735426008968,0.11210762331838565,0.022061305087680855,0.03276999821652748,0.0013763375394496733,16.02899321957173,0.9080717488789237,0.9573991031390134,0.9506726457399103,0.29820627802690586,0.010710818385650226
grouped_example_5fold,fold_0,0.3,highest_varentropy,1485,446.0,0.15695067264573992,0.15246636771300448,0.05040748690050464,0.04864525056516388,0.0014950098062732583,33.717161378465995,1.0,0.9260089686098655,0.8430493273542601,0.1905829596412556,0.010710818385650226
