model,prompt_id,task,topic,layer,subspace_family,subspace_k,top_k_output,direction,sign,epsilon,rho,abs_delta_entropy,abs_delta_varentropy,directional_success,selected_top1_changed,top5_jaccard,full_vocab_top5_jaccard,full_vocab_top10_jaccard,selected_kl_before_after,candidate_set_kl,candidate_mass_retention_ratio,cluster_distribution_l1,embedding_centroid_delta_norm
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,64,accessible_ls,increase,0.05,0.3004258672706714,0.0197235511946929,0.0615794513693574,1,0,1.0,1.0,1.0,0.0012250602845896,0.0012250605554949,1.003996177406848,0.015706714191653,0.0126532719655107
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,64,accessible_ls,decrease,0.05,0.3004258672706714,0.0234527444298575,0.0713446586767068,1,0,1.0,1.0,0.8181818181818182,0.0012743846087359,0.0012743844917752,0.9952747470558604,0.0162671972309907,0.0133038173129156
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,64,grad_orthogonal_control,increase,0.05,0.3004258672706714,0.0009630743011004,0.0056882614344692,0,0,1.0,1.0,1.0,0.0012416670343805,0.0012416668110527,1.0001309011443988,0.0187635281416165,0.0109096882909676
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,64,grad_orthogonal_control,decrease,0.05,0.3004258672706714,0.0010179181056142,0.0030736075467359,1,0,1.0,1.0,1.0,0.0012581433210524,0.001258142964446,0.9994887416796356,0.0187409057951998,0.011251503639826
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,64,random_control,increase,0.05,0.3004258672706714,0.0029559696467074,0.016701878754607,1,0,1.0,1.0,0.8181818181818182,0.0012548798467853,0.0012548800795125,1.008166748934609,0.0167163638392396,0.0111698654274273
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,64,random_control,decrease,0.05,0.3004258672706714,0.0048398722443594,0.0190110896427959,1,0,1.0,1.0,1.0,0.0012441093801783,0.0012441092479599,0.990865410842792,0.0168994235124167,0.0112135075607758
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,64,accessible_ls,increase,0.05,0.2272494550168176,0.0174852572513857,0.0554827840871892,1,0,1.0,1.0,0.8181818181818182,0.0012551267783475,0.0012551261592899,0.9811679095258372,0.0050729082467751,0.0105117484184512
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,64,accessible_ls,decrease,0.05,0.2272494550168176,0.01996897432325,0.0603911252739732,1,0,1.0,1.0,0.8181818181818182,0.0012437010150435,0.0012437013362872,1.0178504372617203,0.00524510112712,0.010544756410278
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,64,grad_orthogonal_control,increase,0.05,0.2272494550168176,0.0006443919406655,0.0029155715887984,0,0,1.0,1.0,0.8181818181818182,0.0012303346494479,0.0012303346597065,1.0014438932314789,0.0081306450767972,0.0071019589725698
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,64,grad_orthogonal_control,decrease,0.05,0.2272494550168176,0.0006871292767072,0.0025115552837732,1,0,1.0,1.0,1.0,0.0012702029228008,0.0012702028982097,0.9966534023452468,0.0084808388572676,0.0072950961072216
