model,task,layer,subspace_family,k,sign,n,directional_rate,monotonic_abs_rate,entropy_slope_mean
distilbert-base-uncased,factual_deep,4,delta_pca,1,increase,12,0.5833333333333334,0.6666666666666666,0.13911999571531744
distilbert-base-uncased,factual_deep,4,delta_pca,4,decrease,12,1.0,1.0,-0.33836371602203896
distilbert-base-uncased,factual_deep,4,delta_pca,4,increase,12,1.0,1.0,0.2730278393447314
distilbert-base-uncased,factual_deep,4,delta_pca,8,decrease,12,1.0,1.0,-0.4816105256190981
distilbert-base-uncased,factual_deep,4,delta_pca,8,increase,12,1.0,1.0,0.40032993361161795
distilbert-base-uncased,factual_deep,4,random,1,decrease,12,1.0,0.3333333333333333,-0.2660592590803145
distilbert-base-uncased,factual_deep,4,random,1,increase,12,0.75,0.16666666666666666,0.20424676844273545
distilbert-base-uncased,factual_deep,4,random,4,decrease,12,1.0,0.5,-0.3842518050266095
distilbert-base-uncased,factual_deep,4,random,4,increase,12,0.9166666666666666,0.3333333333333333,0.31032011304123364
distilbert-base-uncased,factual_deep,4,random,8,decrease,12,1.0,0.6666666666666666,-0.4820118675441974
distilbert-base-uncased,factual_deep,4,random,8,increase,12,1.0,0.3333333333333333,0.4332859168736232
distilbert-base-uncased,factual_deep,4,state_pca,1,decrease,12,1.0,1.0,-0.23090648037150563
distilbert-base-uncased,factual_deep,4,state_pca,1,increase,12,0.8333333333333334,0.8333333333333334,0.15421254101355505
distilbert-base-uncased,factual_deep,4,state_pca,4,decrease,12,1.0,1.0,-0.3992528924709795
distilbert-base-uncased,factual_deep,4,state_pca,4,increase,12,1.0,1.0,0.3146519513531324
distilbert-base-uncased,factual_deep,4,state_pca,8,decrease,12,1.0,1.0,-0.5008753274998968
distilbert-base-uncased,factual_deep,4,state_pca,8,increase,12,1.0,1.0,0.430641923962027
distilbert-base-uncased,factual_deep,6,delta_pca,1,decrease,12,0.8333333333333334,0.9166666666666666,-0.25231558887824307
distilbert-base-uncased,factual_deep,6,delta_pca,1,increase,12,0.9166666666666666,1.0,0.40423184280313956
distilbert-base-uncased,factual_deep,6,delta_pca,4,decrease,12,1.0,1.0,-0.6675915584885611
distilbert-base-uncased,factual_deep,6,delta_pca,4,increase,12,1.0,1.0,0.8703293143568654
distilbert-base-uncased,factual_deep,6,delta_pca,8,decrease,12,1.0,1.0,-0.7864050700981978
distilbert-base-uncased,factual_deep,6,delta_pca,8,increase,12,1.0,1.0,1.1067855866985787
distilbert-base-uncased,factual_deep,6,random,1,decrease,12,0.9166666666666666,0.25,-0.34937696107147326
distilbert-base-uncased,factual_deep,6,random,1,increase,12,0.9166666666666666,0.3333333333333333,0.45865009151107916
distilbert-base-uncased,factual_deep,6,random,4,decrease,12,1.0,0.5,-0.7560566015643516
distilbert-base-uncased,factual_deep,6,random,4,increase,12,1.0,0.4166666666666667,0.9336018701210751
distilbert-base-uncased,factual_deep,6,random,8,decrease,12,1.0,0.3333333333333333,-0.7770660416906879
distilbert-base-uncased,factual_deep,6,random,8,increase,12,1.0,0.4166666666666667,1.1554486727474467
distilbert-base-uncased,factual_deep,6,state_pca,1,decrease,12,1.0,1.0,-0.35153138916823484
distilbert-base-uncased,factual_deep,6,state_pca,1,increase,12,1.0,1.0,0.4696640196153296
distilbert-base-uncased,factual_deep,6,state_pca,4,decrease,12,1.0,1.0,-0.6849113872518225
distilbert-base-uncased,factual_deep,6,state_pca,4,increase,12,1.0,1.0,0.846662320206688
distilbert-base-uncased,factual_deep,6,state_pca,8,decrease,12,1.0,1.0,-0.7814829703732519
distilbert-base-uncased,factual_deep,6,state_pca,8,increase,12,1.0,1.0,1.1186189718322128
