direction,sign,epsilon,n,delta_entropy_mean,abs_delta_entropy_mean,delta_varentropy_mean,abs_delta_varentropy_mean,delta_semantic_entropy_proxy_mean,abs_delta_semantic_entropy_proxy_mean,selected_top1_changed_rate,target_correct_changed_rate,target_in_topk_rate,delta_target_prob_topk_mean,first_order_entropy_mean,first_order_logit_norm_mean
random_control,decrease,0.2,64,-0.0026824046917517095,0.006282717685546812,0.005481234260461919,0.015105914600948296,-0.0007084836671153937,0.002149230365752609,0.0,0.0,0.578125,1.9212504699898253e-05,-0.012421583713598763,0.9016547274006619
strict_orthogonal_ls,decrease,0.2,64,0.0,0.0,-1.0625181290357943e-17,6.960577947356938e-17,0.0,0.0,0.0,0.0,0.578125,0.0,0.0,0.0
accessible_ls,increase,0.2,64,0.017263767443838927,0.017263767443838927,-0.02971730384757069,0.03393636905762101,0.004352725410517789,0.004352725410517789,0.0,0.0,0.578125,-0.0008340557344805788,0.0869891379176265,0.7286312593871475
grad_orthogonal_control,increase,0.2,64,-9.039228630577673e-05,0.00015255651871305936,0.0006861692885503955,0.003887496246732248,8.70346599978237e-05,0.0009764989822088792,0.015625,0.015625,0.578125,7.674492342943407e-05,3.0696474008495844e-18,0.8338994511894463
random_control,increase,0.2,64,0.002285595835184997,0.006194563839197821,-0.00481068373312034,0.014768884704933807,0.0006422672554573347,0.00214243960889875,0.0,0.0,0.578125,-3.150260985982049e-05,0.012421583713598763,0.9016547274006619
strict_orthogonal_ls,increase,0.2,64,0.0,0.0,-1.0625181290357943e-17,6.960577947356938e-17,0.0,0.0,0.0,0.0,0.578125,0.0,0.0,0.0
accessible_ls,decrease,0.4,64,-0.03529598558866276,0.03529598558866276,0.06005904780105727,0.0687585415207845,-0.008947361516448477,0.008947361516448477,0.0,0.0,0.578125,0.0016159062884316937,-0.0869891379176265,0.7286312593871475
grad_orthogonal_control,decrease,0.4,64,-0.00036319577112996215,0.0006058339817945207,-0.001087276858296132,0.008332661695332094,-0.00018932285513281397,0.001985940651286884,0.015625,0.0,0.578125,-0.00018280309970068417,-3.0696474008495844e-18,0.8338994511894463
random_control,decrease,0.4,64,-0.005759463946589702,0.01270717723216053,0.011622615171374863,0.03065441299621152,-0.001484195555174397,0.0043090950344992895,0.046875,0.015625,0.578125,2.6138540258547466e-05,-0.012421583713598763,0.9016547274006619
strict_orthogonal_ls,decrease,0.4,64,0.0,0.0,-1.0625181290357943e-17,6.960577947356938e-17,0.0,0.0,0.0,0.0,0.578125,0.0,0.0,0.0
accessible_ls,increase,0.4,64,0.03424822738163083,0.03424822738163083,-0.05915495431256196,0.06747569144364815,0.008621476424150596,0.008621476424150596,0.0,0.0,0.578125,-0.0016855367021571218,0.0869891379176265,0.7286312593871475
grad_orthogonal_control,increase,0.4,64,-0.00036110154528820864,0.00061158526173499,0.0014641674211147778,0.007826600023783515,0.00016933524182546444,0.0019413585812661411,0.0625,0.015625,0.578125,0.00014355623513589188,3.0696474008495844e-18,0.8338994511894463
random_control,increase,0.4,64,0.004173186105921585,0.012332497861416493,-0.00894311607371672,0.029296549497645336,0.0012192716259727162,0.004279838696394748,0.046875,0.0,0.578125,-7.512782359878237e-05,0.012421583713598763,0.9016547274006619
strict_orthogonal_ls,increase,0.4,64,0.0,0.0,-1.0625181290357943e-17,6.960577947356938e-17,0.0,0.0,0.0,0.0,0.578125,0.0,0.0,0.0
