outcome_group,method,eps,n,answer_preserved_rate,correct_after_rate,confidence_delta,wrong_confidence_reduced_rate,correct_confidence_increased_rate,overcorrection_rate,semantic_drift_proxy_mean,gold_probability_delta
wrong_mid,random_activation,0.05,10,1.0,0.0,0.00038271585930038654,0.1,0.0,0.0,1.1440601059891378e-06,-9.237965190275754e-05
wrong_mid,random_activation,0.1,10,1.0,0.0,0.0004445575631748522,0.0,0.0,0.0,8.914985774870096e-07,-0.00016844332042713003
wrong_mid,random_activation,0.2,10,1.0,0.0,0.0008187248269443392,0.1,0.0,0.0,4.624778572821955e-06,-0.00017632291100646083
wrong_mid,random_activation,0.4,10,1.0,0.0,0.000841749766094857,0.2,0.0,0.0,7.182798601704258e-06,-0.00033779234735107494
wrong_mid,standard_delta_pca,0.05,10,1.0,0.0,0.00020167044751173702,0.5,0.0,0.0,9.152996317854166e-06,0.00011599022720957738
wrong_mid,standard_delta_pca,0.1,10,1.0,0.0,-0.0006891211443262879,0.5,0.0,0.0,1.04910625032843e-05,0.0002962807560702302
wrong_mid,standard_delta_pca,0.2,10,1.0,0.0,-0.0020662441513558116,0.5,0.0,0.0,1.968876673670069e-05,0.0007618286121172657
wrong_mid,standard_delta_pca,0.4,10,1.0,0.0,-0.005153497961533193,0.5,0.0,0.0,7.595530665192511e-05,0.0012625545287693642
wrong_mid,temperature_1.25,0.0,10,1.0,0.0,-0.06489567575403266,1.0,0.0,0.0,0.005275060183356797,0.016558559748898787
wrong_mid,temperature_1.5,0.0,10,1.0,0.0,-0.1286401123395461,1.0,0.0,0.0,0.017398087808083797,0.03434804754836522
wrong_mid,temperature_2,0.0,10,1.0,0.0,-0.23635167873713547,1.0,0.0,0.0,0.04750407415121339,0.06720657780817076
