prompt_id,layer,subspace,observed_condition,topic,fact_id,template_id,entropy_topk,varentropy_topk,top1_prob_topk_layer,rho_fisher,accessible_varentropy,trace_fim,grad_norm_sq,rho_euclidean,rho_shuffled_u,rho_random_u,rho_matched_random_trace,matched_random_trace_gap,matched_random_trace_fim,rho_high_trace_random,high_trace_random_trace_fim
178,2,delta_1d,error,continent,continent:nigeria,t0,3.356258449830496,0.24594558201193087,0.08878208371889568,0.036884225919072956,0.009071512410725943,0.009549020744722577,8.662406019602997e-05,0.08998823100570472,0.019794391793674804,0.014518108540322303,0.016806096807465504,0.0006081584627548667,0.00894086228196771,0.16917838034565197,0.03272027475999196
178,3,state_1d,error,continent,continent:nigeria,t0,3.394803548566246,0.1612845979420527,0.0799909780651445,0.0002992256973051417,4.826049628379014e-05,8.292011387260767e-05,4.00176584739991e-09,0.1537761785673597,0.018128783955695137,0.010409867207130843,,,,,
178,3,delta_1d,error,continent,continent:nigeria,t0,3.394803548566246,0.1612845979420527,0.0799909780651445,0.0001412744765375471,2.278539714783224e-05,0.00340853395586247,7.766479987620028e-08,0.10624466681111067,0.000307922688759936,0.006780223488285185,0.006690918813346177,0.0033859922678810307,0.006794526223743501,0.0011166888978628245,0.020418204480754664
178,4,state_1d,error,continent,continent:nigeria,t0,3.4204844732702413,0.09733320712852883,0.07223229302810032,0.002390585710873026,0.00023268337415490557,0.00011954176602115338,2.7815381470238844e-08,0.06238401320757571,0.005566715675530983,0.1257931339316491,,,,,
178,4,delta_1d,error,continent,continent:nigeria,t0,3.4204844732702413,0.09733320712852883,0.07223229302810032,0.07042966177265547,0.0068551448573101045,0.0034489986965486196,2.364338567751451e-05,0.11788979164675073,0.005901980897645784,0.0025789581609635716,0.0778134730391735,8.172505496018218e-05,0.0035307237515088017,0.07983143813506384,0.015602294556838548
178,5,state_1d,error,continent,continent:nigeria,t0,3.194150559590145,0.684129620567447,0.1705529938531691,0.16092591523182762,0.11009418532701937,3.800724557551923e-05,4.184376738160767e-06,0.34094989217116617,0.06338102722423888,0.028778256899267274,,,,,
178,5,delta_1d,error,continent,continent:nigeria,t0,3.194150559590145,0.684129620567447,0.1705529938531691,0.5869444700005946,0.401546097555668,0.028100696048766104,0.011283724836980003,0.11833422502347081,0.013801985438730586,0.1022831081037336,0.5011308979590432,0.0070961721532540704,0.021004523895512033,0.5011308979590432,0.021004523895512033
178,6,state_1d,error,continent,continent:nigeria,t0,2.534813178026797,1.6306434135791597,0.23338782799626387,0.7887381437019811,1.2861506590662883,0.0034424623647820425,0.004427525239275395,0.6270198450629325,0.07316789269899712,0.022276837688128458,,,,,
178,6,delta_1d,error,continent,continent:nigeria,t0,2.534813178026797,1.6306434135791597,0.23338782799626387,0.14597321775460062,0.23803026609049596,0.00751396897644749,0.0017885520348595327,0.18138236737315194,0.03425937049233411,0.481130622415114,0.005576859143636209,7.425605973444827e-05,0.007439712916713042,0.012116074097967715,0.08979231438406278
179,0,state_1d,error,continent,continent:nigeria,t1,3.3096673050916237,0.3449003907573439,0.09098628957658025,0.16527210858048527,0.057002414830699545,0.0035347763367358045,0.00020149078708035756,0.22370855727668038,0.00830700757580697,0.11732377095508113,,,,,
